county_state,hyp_total_2009,cig_total_2012,cig_daily_2012,obs_total_2006,dbt_total_2012,alc_any_2008,alc_heavy_2008,alc_binge_2008,hd_deaths_per100k_over65
"Washington, UT",50.61,15.47,11.54,78.04,7.44,29.0,4.7,8.6,717.1
"Washington, UT",50.61,15.47,11.54,78.04,6.91,29.0,4.7,8.6,717.1
"Wayne, UT",50.74,17.48,12.21,78.86,7.88,26.3,4.7,9.2,775.4
"Weber, UT",48.38,15.7,11.73,76.67,9.52,34.2,5.2,11.7,1171.6
"Accomack, VA",54.65,22.99,16.62,66.29,12.25,48.0,6.5,14.0,1275.2
"Albemarle, VA",45.69,14.31,9.26,81.92,8.69,63.4,7.5,16.0,723.2
"Amelia, VA",54.1,24.59,18.4,69.16,11.29,44.8,5.8,13.5,1143.7
"Amherst, VA",51.51,25.49,19.58,70.87,11.71,45.6,5.7,13.3,1056.1
"Appomattox, VA",52.61,24.46,18.44,69.65,11.27,43.9,5.8,13.1,1156.7
"Arlington, VA",41.83,10.96,6.39,81.57,7.17,70.0,7.6,18.4,610.5
"Bath, VA",52.68,25.26,19.37,73.05,9.83,48.2,9.5,17.4,1015.1
"Bland, VA",53.22,26.76,20.65,73.82,11.16,35.4,4.7,11.0,1239.2
"Botetourt, VA",49.95,22.11,16.79,75.22,9.24,46.3,5.2,12.7,1054.7
"Brunswick, VA",54.11,28.18,19.48,66.06,14.13,37.9,4.8,11.8,1102.8
"Buchanan, VA",57.84,30.06,23.18,54.87,13.46,23.6,3.6,9.2,1309.2
"Buckingham, VA",53.94,25.88,18.83,61.94,13.12,38.4,4.9,12.2,907.6
"Campbell, VA",53.35,25.13,19.77,73.75,11.05,45.7,5.8,12.9,1034.0
"Caroline, VA",52.03,23.89,17.37,72.09,12.01,47.3,5.5,13.3,1032.7
"Carroll, VA",53.88,26.3,20.52,66.56,10.29,36.7,4.7,11.7,799.3
"Charles City, VA",53.01,26.25,18.22,68.81,14.49,40.5,4.7,11.5,1006.2
"Charlotte, VA",53.05,25.75,18.63,64.53,11.93,40.6,5.1,12.3,1124.3
"Chesterfield, VA",46.48,18.88,13.26,77.33,9.73,60.1,6.7,15.8,973.1
"Clarke, VA",48.5,18.76,13.4,75.08,8.97,55.4,6.8,14.7,1053.7
"Craig, VA",51.93,24.68,19.15,71.32,10.33,37.0,4.7,11.3,903.6
"Culpeper, VA",50.9,21.68,16.15,71.77,10.31,52.9,5.9,13.6,912.1
"Cumberland, VA",51.21,24.03,17.49,67.51,12.42,40.8,5.1,12.1,959.0
"Dickenson, VA",56.4,30.34,22.79,60.69,13.24,25.4,3.8,10.0,1302.5
"Dinwiddie, VA",52.92,25.79,19.42,67.99,12.36,46.6,6.1,14.2,944.1
"Essex, VA",50.92,24.66,17.7,70.51,12.34,47.4,5.4,12.9,1141.5
"Fauquier, VA",48.38,19.15,13.93,77.53,8.98,58.0,6.7,14.6,810.0
"Floyd, VA",52.2,23.33,17.73,71.79,10.36,41.2,5.2,12.1,940.0
"Fluvanna, VA",49.05,20.95,15.27,78.53,9.44,56.1,6.5,15.0,875.8
"Frederick, VA",49.49,22.05,16.39,75.64,9.45,52.2,5.8,14.1,1046.7
"Giles, VA",52.02,26.16,20.4,73.66,10.48,38.8,5.1,11.9,1165.7
"Gloucester, VA",52.13,22.29,17.0,74.97,9.97,54.1,7.0,15.5,1016.8
"Goochland, VA",49.03,18.68,12.74,72.62,8.57,55.4,7.4,15.4,917.6
"Grayson, VA",54.39,26.7,21.04,67.6,11.2,33.8,4.5,10.8,785.4
"Greene, VA",49.08,23.02,17.46,76.47,9.35,52.9,6.3,14.5,1024.0
"Greensville, VA",53.63,27.89,19.94,61.75,15.0,35.4,4.3,11.1,1707.2
"Hanover, VA",47.32,19.62,13.87,79.22,9.08,58.9,6.6,15.5,942.2
"Henrico, VA",45.84,18.74,12.38,76.18,9.89,61.2,7.1,16.8,951.6
"Henry, VA",53.23,27.24,20.01,66.45,12.17,35.7,4.2,10.9,976.7
"Highland, VA",51.21,22.87,17.2,74.2,10.0,54.5,11.7,19.8,938.3
"Isle of Wight, VA",51.14,20.41,14.94,72.58,10.63,53.4,6.8,15.2,1011.2
"James City, VA",46.39,16.5,11.48,79.72,9.28,66.1,7.5,16.8,737.9
"King and Queen, VA",51.74,24.88,18.33,68.67,11.94,41.8,4.8,11.9,1151.4
"King George, VA",48.95,18.33,13.02,76.58,9.84,52.3,5.5,13.1,1075.5
"King William, VA",50.21,23.92,17.43,76.36,10.52,51.7,6.2,14.5,1122.2
"Lancaster, VA",47.6,21.86,15.19,69.46,10.55,53.2,6.9,14.5,1148.7
"Lee, VA",55.31,27.88,21.3,63.28,13.16,23.8,3.5,8.6,1155.1
"Loudoun, VA",42.65,11.74,7.36,83.43,8.7,64.4,6.2,15.2,717.6
"Louisa, VA",51.85,24.17,17.72,74.17,10.62,49.2,5.5,13.1,1127.6
"Lunenburg, VA",52.7,28.4,20.18,66.58,13.19,43.4,5.7,13.7,1192.7
"Madison, VA",49.99,24.05,18.07,74.13,9.99,52.2,6.7,13.8,905.7
"Mathews, VA",51.18,21.21,15.54,75.28,9.39,55.5,8.8,16.9,954.8
"Mecklenburg, VA",52.62,28.09,19.78,67.9,11.72,44.8,5.5,12.7,1058.4
"Middlesex, VA",49.81,20.54,14.37,72.93,10.44,56.4,8.4,16.5,896.7
"Montgomery, VA",50.97,17.48,12.53,76.53,10.77,51.1,5.8,13.9,917.7
"Nelson, VA",51.09,22.69,16.56,71.23,10.01,46.3,6.4,13.5,993.4
"New Kent, VA",50.93,23.09,16.49,76.69,9.82,53.0,6.3,14.5,1104.1
"Northampton, VA",51.74,23.53,15.74,66.72,12.44,50.0,7.7,16.2,955.8
"Northumberland, VA",49.59,23.01,16.19,69.62,9.79,52.6,6.3,13.7,892.4
"Nottoway, VA",51.99,28.75,21.09,67.86,12.87,43.7,6.1,13.8,1383.9
"Orange, VA",50.07,22.82,16.94,75.17,9.72,54.3,6.5,14.4,956.2
"Page, VA",52.92,27.75,22.2,67.99,10.3,47.0,6.1,14.1,1126.2
"Patrick, VA",52.99,27.83,21.33,68.84,11.09,36.6,4.8,11.3,1258.4
"Pittsylvania, VA",53.4,25.76,19.09,69.92,12.64,38.3,4.5,11.7,975.7
"Powhatan, VA",50.31,21.76,15.65,72.63,9.22,51.9,6.4,14.8,945.1
"Prince Edward, VA",52.31,23.53,16.41,70.51,12.15,45.6,5.8,13.6,1128.8
"Prince George, VA",51.67,23.25,16.7,72.71,11.56,46.3,5.2,12.6,839.5
"Pulaski, VA",51.86,26.42,20.65,71.33,10.91,41.1,5.0,12.3,1175.1
"Rappahannock, VA",49.15,20.11,14.6,73.97,9.09,53.4,6.2,13.6,810.0
"Rockbridge, VA",52.5,23.51,17.63,72.68,10.01,47.9,6.0,13.6,850.2
"Rockingham, VA",50.79,21.72,16.69,74.04,10.72,48.6,5.9,13.4,958.2
"Russell, VA",55.6,28.04,21.46,66.04,12.4,26.5,3.4,9.2,1210.6
"Scott, VA",54.68,28.0,21.4,65.38,12.15,30.4,4.1,10.5,1117.6
"Shenandoah, VA",49.95,24.46,19.1,72.73,9.59,51.9,7.4,15.5,980.4
"Smyth, VA",54.04,26.43,20.74,68.17,11.15,33.9,4.5,11.3,1247.5
"Spotsylvania, VA",48.52,18.74,13.61,77.32,10.29,56.3,5.9,13.9,951.9
"Stafford, VA",48.87,16.92,12.13,77.25,9.82,59.3,5.9,14.3,1032.4
"Surry, VA",52.43,23.12,16.28,69.57,13.27,41.1,4.9,12.1,955.9
"Sussex, VA",55.27,27.38,19.39,59.53,15.15,40.7,5.6,12.6,1213.3
"Tazewell, VA",53.92,26.42,20.78,66.84,12.11,32.4,4.5,10.8,1243.8
"Warren, VA",50.99,24.33,18.87,71.97,9.92,52.5,6.1,14.4,1084.0
"Washington, VA",52.91,23.22,17.5,70.25,10.32,36.9,4.5,11.4,997.8
"Westmoreland, VA",52.23,25.32,18.68,68.42,12.23,50.2,6.4,14.4,1115.7
"Wise, VA",55.24,29.46,22.81,62.02,13.64,28.7,4.0,10.4,1296.5
"Wythe, VA",53.17,26.03,20.42,70.25,10.6,38.3,5.1,11.9,1267.6
"York, VA",46.45,16.27,11.26,80.47,11.87,64.9,8.2,17.3,811.4
"Adams, WA",47.98,16.67,11.39,69.14,11.89,40.1,5.0,13.4,975.4
"Asotin, WA",51.13,25.17,19.14,76.7,9.26,54.7,8.2,17.0,1051.3
"Benton, WA",48.29,17.86,12.91,78.93,9.2,54.5,7.1,15.7,880.5
"Chelan, WA",46.72,18.97,13.24,78.03,8.58,54.7,6.8,15.3,841.8
"Clallam, WA",48.86,23.97,16.67,82.92,8.37,58.7,8.5,16.2,837.7
"Clark, WA",47.17,18.86,13.28,81.12,9.37,59.0,7.6,16.2,966.8
"Columbia, WA",49.93,21.38,15.76,79.09,9.06,54.1,8.0,16.0,893.7
"Cowlitz, WA",50.95,24.55,17.5,77.8,9.68,54.7,7.0,16.1,1080.4
"Douglas, WA",48.61,19.53,13.95,76.65,9.39,57.5,7.7,16.3,867.8
"Ferry, WA",50.15,25.04,17.46,78.73,10.06,53.4,9.8,16.9,836.6
"Franklin, WA",49.24,19.28,13.52,73.28,11.6,44.0,5.5,13.7,893.1
"Garfield, WA",50.38,17.19,11.96,77.64,8.44,57.5,10.2,18.3,1025.9
"Grant, WA",49.29,19.34,13.68,73.2,10.57,47.7,6.5,14.8,1005.6
"Grays Harbor, WA",49.75,26.54,19.64,75.73,10.99,55.5,8.7,17.5,978.0
"Island, WA",45.06,18.26,12.88,86.4,8.26,64.4,10.1,17.3,846.2
"Jefferson, WA",46.64,19.84,13.73,87.26,7.6,66.5,10.6,17.5,838.3
"King, WA",44.13,14.15,9.1,84.01,7.87,64.8,9.5,17.9,780.5
"Kitsap, WA",46.79,19.76,13.9,82.62,8.63,59.8,7.8,16.1,942.8
"Kittitas, WA",48.11,16.75,11.17,83.23,8.47,63.5,9.7,19.1,838.2
"Klickitat, WA",49.58,21.5,15.26,79.1,8.98,54.5,8.3,16.4,670.7
"Lewis, WA",51.52,23.92,17.51,75.73,9.72,52.7,7.6,15.4,1235.1
"Lincoln, WA",50.11,19.71,14.44,79.56,8.47,59.2,10.3,18.4,950.2
"Mason, WA",50.54,24.36,17.61,79.51,9.6,58.4,10.0,17.7,949.4
"Okanogan, WA",48.35,21.9,15.08,75.06,9.5,54.0,7.7,15.8,920.9
"Pacific, WA",50.28,25.03,17.63,77.39,9.69,57.9,9.5,17.8,1527.1
"Pend Oreille, WA",50.69,23.22,17.25,78.09,8.93,58.3,10.6,18.7,908.2
"Pierce, WA",48.95,20.63,14.56,79.17,9.74,57.4,7.4,15.6,1009.6
"San Juan, WA",43.07,16.33,10.32,88.57,6.66,72.3,13.4,19.7,522.0
"Skagit, WA",47.85,20.51,14.51,80.31,8.7,59.6,8.4,16.9,870.4
"Skamania, WA",48.67,19.52,13.28,81.38,9.12,59.8,10.8,18.1,799.7
"Snohomish, WA",47.94,19.32,14.04,81.39,9.49,59.5,8.4,17.0,843.7
"Spokane, WA",47.99,20.38,15.09,79.5,8.78,60.0,8.4,17.4,896.1
"Stevens, WA",48.16,21.46,15.64,76.38,8.94,56.9,9.5,18.1,990.8
"Thurston, WA",48.04,18.97,13.23,81.86,9.47,60.4,7.8,16.5,871.8
"Wahkiakum, WA",51.35,23.68,16.46,80.14,9.29,57.8,10.6,19.7,1029.3
"Walla Walla, WA",47.11,18.43,13.08,80.62,9.21,51.8,6.6,15.3,870.5
"Whatcom, WA",47.26,17.94,12.46,84.36,8.46,62.7,8.8,17.1,858.5
"Whitman, WA",46.21,12.26,8.03,84.08,9.56,61.5,8.6,17.9,1008.4
"Yakima, WA",49.0,19.77,13.54,71.3,11.72,49.0,5.8,15.2,1240.0
"Barbour, WV",54.16,27.77,22.69,73.02,11.12,31.6,4.4,10.4,1108.5
"Berkeley, WV",51.87,26.13,20.6,73.03,10.94,43.9,5.5,12.9,1096.1
"Boone, WV",56.62,32.3,27.6,63.8,12.66,24.3,3.9,9.5,1302.0
"Braxton, WV",54.36,29.94,24.37,69.24,11.67,27.8,4.6,10.1,1063.4
"Brooke, WV",51.86,29.76,24.62,68.18,10.93,40.8,5.0,13.4,1393.2
"Cabell, WV",52.37,26.92,21.76,70.15,11.93,36.9,5.3,11.9,1026.0
"Calhoun, WV",54.04,31.8,25.95,64.95,12.29,26.3,4.2,9.9,1106.4
"Clay, WV",54.6,32.41,26.69,67.31,12.62,25.3,4.0,9.4,1113.0
"Doddridge, WV",53.39,30.7,24.72,68.11,11.57,29.0,4.2,10.1,1042.9
"Fayette, WV",54.05,31.36,26.48,67.23,12.06,30.8,5.2,11.3,1217.4
"Gilmer, WV",50.65,28.77,22.19,68.22,12.94,33.9,5.6,12.1,1107.6
"Grant, WV",52.34,30.59,25.25,69.05,10.4,36.8,4.8,11.2,1079.4
"Greenbrier, WV",53.37,27.33,22.06,73.13,10.18,36.3,5.9,12.3,1176.9
"Hampshire, WV",53.01,32.68,26.69,72.06,11.07,36.5,5.1,12.1,1030.6
"Hancock, WV",53.44,31.36,25.46,68.33,10.76,39.5,5.7,14.9,1426.7
"Hardy, WV",53.22,31.83,26.14,71.68,10.73,38.2,5.0,11.9,993.6
"Harrison, WV",51.12,25.76,20.8,73.27,10.66,39.4,5.5,12.0,1237.6
"Jackson, WV",54.42,29.03,23.48,70.13,11.72,31.2,4.3,10.2,1165.2
"Jefferson, WV",50.31,22.47,16.56,75.28,10.07,49.1,6.4,13.9,1051.2
"Kanawha, WV",52.25,26.47,21.37,69.25,11.0,36.4,4.7,11.4,1101.7
"Lewis, WV",53.54,27.56,22.47,71.69,10.45,35.0,5.5,11.5,1400.4
"Lincoln, WV",58.21,31.36,26.46,60.24,13.63,22.6,3.5,8.7,1111.3
"Logan, WV",57.24,32.03,26.83,62.03,12.92,22.8,3.6,9.0,1372.7
"McDowell, WV",59.1,33.87,28.0,51.93,15.64,19.3,3.2,8.3,1246.5
"Marion, WV",53.03,25.64,20.96,72.09,10.81,40.0,5.0,12.0,1674.8
"Marshall, WV",54.21,28.49,23.07,73.07,10.55,40.9,5.1,14.0,1196.8
"Mason, WV",54.86,32.36,27.32,64.03,12.19,30.2,4.5,10.4,1111.1
"Mercer, WV",53.4,28.86,23.16,70.02,12.55,29.0,4.0,9.5,1227.4
"Mineral, WV",52.62,29.54,23.74,74.3,10.55,40.4,5.9,13.1,1229.3
"Mingo, WV",57.12,31.95,25.77,58.43,13.54,22.7,3.8,9.2,1459.2
"Monongalia, WV",50.83,21.0,16.26,76.64,10.09,46.8,5.9,14.0,1156.3
"Monroe, WV",53.04,27.96,22.62,71.12,10.94,33.3,5.2,11.3,1144.1
"Morgan, WV",53.07,27.83,21.89,73.85,10.47,41.6,5.3,12.6,1110.9
"Nicholas, WV",54.29,28.75,23.43,70.29,10.78,29.5,4.8,10.5,1119.3
"Ohio, WV",51.96,26.28,21.15,71.37,9.63,49.4,6.5,16.4,1117.1
"Pendleton, WV",52.06,27.89,22.44,70.35,10.38,39.1,5.8,12.4,974.2
"Pleasants, WV",53.48,30.24,24.63,76.18,11.29,35.7,4.7,11.4,1335.0
"Pocahontas, WV",52.58,26.8,21.11,72.52,10.73,33.6,4.8,11.6,1095.3
"Preston, WV",52.77,28.82,23.86,72.34,10.64,36.4,5.1,11.8,1207.1
"Putnam, WV",51.28,24.17,19.85,73.57,11.25,37.2,4.5,10.8,1254.1
"Raleigh, WV",54.3,30.32,24.52,69.09,12.12,28.5,4.0,9.7,1420.0
"Randolph, WV",51.49,27.72,22.25,71.13,10.03,36.2,4.9,11.5,1085.5
"Ritchie, WV",54.71,30.54,24.49,73.17,11.77,30.8,4.3,10.3,1157.4
"Roane, WV",54.74,33.58,27.78,68.51,12.28,28.7,4.4,10.4,1114.1
"Summers, WV",55.66,28.44,22.87,68.33,12.4,28.4,4.2,10.1,1288.1
"Taylor, WV",53.46,26.54,22.12,71.84,10.76,38.0,5.2,11.7,1190.1
"Tucker, WV",53.65,26.24,20.82,73.1,10.27,37.0,5.2,11.7,1225.3
"Tyler, WV",52.75,29.52,23.88,71.65,11.07,30.6,4.1,10.0,1176.9
"Upshur, WV",53.32,26.37,21.45,71.88,10.25,31.3,4.8,10.6,1087.4
"Wayne, WV",54.98,31.17,25.45,65.69,13.35,27.9,4.2,10.2,1021.4
"Webster, WV",55.5,30.78,25.31,67.11,11.91,24.5,3.5,8.6,1199.0
"Wetzel, WV",53.79,28.3,23.11,71.73,11.06,34.7,4.2,11.0,1242.0
"Wirt, WV",52.79,30.25,24.15,71.69,11.68,29.7,4.3,9.7,1234.4
"Wood, WV",51.24,29.2,23.29,73.2,11.61,37.5,5.0,12.0,1271.2
"Wyoming, WV",56.93,31.72,26.42,60.87,12.85,23.5,4.2,9.5,1362.8
"Adams, WI",51.56,25.97,19.07,73.91,9.13,62.3,13.0,24.4,930.9
"Ashland, WI",48.58,23.61,17.25,76.57,8.61,67.5,15.1,30.5,1268.9
"Barron, WI",48.56,23.51,17.41,78.91,8.11,65.8,10.8,26.3,1094.5
"Bayfield, WI",49.0,20.99,14.96,78.12,8.37,70.5,14.5,30.1,864.5
"Brown, WI",46.94,19.1,13.92,81.59,9.02,73.3,12.5,28.0,1161.0
"Buffalo, WI",49.59,21.99,16.29,79.78,7.96,67.8,11.5,27.6,1038.2
"Burnett, WI",49.52,22.96,16.5,80.14,8.81,66.2,14.5,28.3,907.6
"Calumet, WI",49.22,17.72,13.22,80.3,8.67,73.6,11.9,26.1,1051.1
"Chippewa, WI",49.02,22.81,16.81,78.3,8.3,71.2,13.1,28.2,1099.1
"Clark, WI",52.23,23.97,18.4,73.34,9.21,63.8,10.6,25.1,1069.6
"Columbia, WI",48.99,23.18,16.59,74.55,8.49,68.7,10.7,25.2,1067.3
"Crawford, WI",49.33,23.38,17.82,79.22,8.34,66.8,13.6,28.5,989.9
"Dane, WI",44.97,15.73,10.09,80.14,7.33,73.1,10.4,24.2,823.5
"Dodge, WI",49.56,23.58,17.53,75.35,8.97,67.3,10.2,24.3,1148.3
"Door, WI",49.01,19.07,13.51,79.58,7.97,71.2,13.6,27.2,1176.5
"Douglas, WI",49.85,23.35,17.54,78.66,9.0,71.5,14.7,30.3,900.5
"Dunn, WI",49.72,20.15,14.56,80.63,8.25,66.5,10.9,25.3,999.2
"Eau Claire, WI",47.07,19.23,14.04,81.49,7.41,69.8,10.4,24.5,1056.7
"Florence, WI",51.27,23.87,18.06,74.37,9.04,68.8,11.2,26.4,1160.5
"Fond du Lac, WI",48.11,20.84,16.02,79.27,8.6,71.6,11.6,25.8,1039.5
"Forest, WI",51.78,27.72,20.6,73.74,9.95,65.6,11.3,27.9,1239.5
"Grant, WI",50.18,20.95,15.45,77.46,8.41,69.7,13.9,29.5,1000.4
"Green, WI",50.18,21.27,15.87,78.41,8.05,67.7,11.2,25.1,968.6
"Green Lake, WI",48.83,24.01,17.99,75.92,8.15,68.1,10.8,25.4,1344.1
"Iowa, WI",47.99,20.23,14.38,80.33,8.04,69.4,12.1,26.2,896.2
"Iron, WI",51.27,23.55,16.63,77.77,8.96,72.3,13.2,30.7,1206.8
"Jackson, WI",49.34,25.17,19.33,74.33,8.63,63.1,10.5,25.2,974.7
"Jefferson, WI",49.74,21.27,15.35,76.18,8.67,68.4,10.1,23.5,1100.0
"Juneau, WI",50.8,25.77,19.64,73.59,8.93,64.9,12.1,26.4,983.1
"Kenosha, WI",51.12,22.03,15.78,77.25,9.59,66.3,11.1,23.3,1118.2
"Kewaunee, WI",52.71,21.92,16.67,79.75,8.81,72.3,14.4,29.2,968.7
"La Crosse, WI",48.34,20.48,15.3,79.63,7.16,72.1,12.5,27.4,904.1
"Lafayette, WI",50.73,21.03,15.43,78.91,8.74,66.4,13.3,27.6,924.8
"Langlade, WI",51.58,25.05,19.74,75.05,8.73,67.8,13.6,28.6,1116.9
"Lincoln, WI",50.88,23.53,18.13,77.41,8.36,68.2,12.0,26.8,1075.5
"Manitowoc, WI",48.4,20.92,16.01,78.67,8.96,71.6,13.8,28.8,1076.7
"Marathon, WI",48.77,20.98,15.87,80.6,8.41,71.5,12.7,26.8,1050.3
"Marinette, WI",50.98,25.5,19.71,76.21,8.99,69.1,15.4,29.8,1309.0
"Marquette, WI",52.68,26.32,19.58,74.42,8.83,64.0,10.6,24.1,930.1
"Menominee, WI",46.7,33.68,22.61,67.89,15.06,54.4,13.1,31.1,1060.4
"Milwaukee, WI",49.89,23.56,15.36,72.25,10.75,64.5,9.8,22.4,1144.7
"Monroe, WI",50.03,24.91,19.53,75.36,8.59,65.4,11.5,26.1,990.4
"Oconto, WI",50.99,23.5,18.05,76.81,8.7,68.8,12.7,27.5,1262.5
"Oneida, WI",49.48,22.38,16.29,76.97,7.41,72.5,14.4,28.9,1056.1
"Outagamie, WI",46.04,19.32,13.97,81.21,8.33,72.7,12.1,27.6,1028.6
"Ozaukee, WI",44.92,16.17,11.09,84.44,6.94,75.8,11.7,25.5,1004.6
"Pepin, WI",51.21,21.35,15.85,79.13,8.09,71.7,13.4,31.0,1005.8
"Pierce, WI",46.96,19.32,13.96,82.34,7.82,70.7,11.8,27.6,931.3
"Polk, WI",47.56,22.31,16.15,80.24,7.9,66.7,11.2,25.9,1104.9
"Portage, WI",47.95,19.37,14.1,80.18,8.59,75.2,14.4,29.6,1002.6
"Price, WI",50.62,23.81,17.42,77.12,8.63,67.4,12.8,26.9,1207.4
"Racine, WI",48.81,22.38,15.84,77.1,9.86,67.4,10.7,23.7,1145.9
"Richland, WI",49.29,23.36,17.55,78.33,8.29,62.7,11.1,24.4,999.8
"Rock, WI",50.67,22.95,17.17,74.89,9.38,64.8,10.3,22.9,1077.3
"Rusk, WI",51.13,24.81,18.3,75.91,8.47,62.9,10.8,23.8,1074.0
"Sauk, WI",47.9,23.01,16.67,76.11,8.45,67.2,11.0,25.2,991.0
"Sawyer, WI",49.22,24.48,17.43,76.15,8.7,66.8,14.4,30.1,1065.6
"Shawano, WI",49.55,24.08,18.09,76.74,8.84,64.3,10.7,25.0,1043.5
"Sheboygan, WI",49.72,20.25,15.49,80.71,9.17,69.3,10.5,24.4,1051.2
"Taylor, WI",51.74,24.13,18.33,75.9,8.67,68.1,12.5,27.5,1134.1
"Trempealeau, WI",50.86,22.58,16.95,77.42,8.13,67.6,13.5,30.8,1078.0
"Vernon, WI",50.19,22.9,17.38,76.69,8.0,62.2,9.6,22.8,1010.3
"Vilas, WI",49.22,24.53,16.68,78.91,8.61,70.7,15.5,29.8,1099.6
"Walworth, WI",48.52,20.88,14.92,79.46,8.93,68.4,10.9,23.9,1119.9
"Washburn, WI",47.86,22.13,16.44,78.03,7.99,68.6,15.1,29.0,1071.9
"Washington, WI",47.56,19.3,14.06,81.26,8.34,73.3,11.5,25.2,1007.1
"Waukesha, WI",44.63,17.25,11.71,82.86,6.81,75.7,11.2,25.1,859.3
"Waupaca, WI",48.76,23.22,17.31,77.72,8.62,67.0,10.5,24.8,1147.6
"Waushara, WI",50.86,25.19,18.67,77.68,8.81,67.8,12.5,26.8,1185.9
"Winnebago, WI",48.61,21.17,15.86,77.03,8.46,71.2,11.8,25.3,876.6
"Wood, WI",47.36,22.58,17.32,77.7,7.76,70.2,12.9,28.0,958.9
"Albany, WY",43.43,15.17,10.35,80.44,8.21,64.3,8.0,18.6,887.4
"Big Horn, WY",47.94,21.9,15.85,75.19,8.27,46.8,7.0,14.6,1086.0
"Campbell, WY",50.01,24.35,18.67,73.61,8.23,59.8,8.9,17.9,1141.3
"Carbon, WY",47.43,22.91,17.16,71.54,8.72,58.9,10.2,21.1,958.1
"Converse, WY",48.39,23.72,17.97,77.52,8.11,62.4,9.0,19.5,957.0
"Crook, WY",48.86,22.88,16.68,78.46,7.55,66.6,12.3,23.1,1041.1
"Fremont, WY",47.01,23.68,16.9,74.27,8.95,57.3,8.1,18.2,971.9
"Goshen, WY",46.04,22.33,17.19,75.2,8.68,59.0,8.2,18.0,938.9
"Hot Springs, WY",48.96,23.1,17.44,74.98,7.72,58.6,9.0,18.6,979.5
"Johnson, WY",46.08,20.82,15.06,80.41,7.52,67.5,9.6,20.5,1047.2
"Laramie, WY",47.83,22.08,16.54,77.6,8.45,58.8,7.4,16.1,907.1
"Lincoln, WY",49.03,18.11,12.84,75.67,7.9,41.2,6.5,14.5,917.8
"Natrona, WY",49.18,25.11,18.83,76.75,8.86,60.2,8.7,18.7,961.1
"Niobrara, WY",50.58,23.58,17.72,78.31,8.47,57.0,8.7,17.7,899.9
"Park, WY",46.81,19.18,13.44,77.48,7.12,60.2,7.9,16.9,964.0
"Platte, WY",48.12,23.07,17.64,76.49,8.12,62.4,9.1,19.1,924.3
"Sheridan, WY",48.45,22.5,16.68,79.29,7.5,61.6,7.9,17.6,998.2
"Sublette, WY",47.17,16.55,11.18,79.02,7.6,63.7,11.0,21.5,812.7
"Sweetwater, WY",48.56,22.91,17.37,74.72,9.23,56.7,8.2,19.3,1024.6
"Teton, WY",41.19,13.25,8.08,86.48,5.91,76.9,11.9,21.7,636.5
"Uinta, WY",49.29,21.38,16.12,76.61,8.57,41.4,6.1,13.9,1148.5
"Washakie, WY",47.51,22.05,16.07,75.05,8.27,57.3,7.9,17.4,1001.1
"Weston, WY",49.84,24.97,18.72,74.04,8.08,62.5,9.7,19.4,956.9
"Autauga, AL",38.3,25.1,18.41,67.26,11.44,41.2,6.0,13.1,1292.6
"Baldwin, AL",36.85,20.9,16.02,76.59,9.76,55.1,9.1,17.7,1182.2
"Barbour, AL",42.74,26.25,18.73,59.95,14.65,37.0,5.6,12.0,1508.6
"Bibb, AL",41.37,29.41,22.62,59.95,12.32,34.2,5.2,11.6,1362.3
"Blount, AL",41.28,27.17,19.88,62.09,11.14,34.1,4.8,10.8,1327.2
"Bullock, AL",42.7,26.84,18.49,58.69,17.74,36.5,5.8,12.8,1223.2
"Butler, AL",41.97,28.14,20.22,66.85,14.16,35.6,5.7,11.9,1138.2
"Calhoun, AL",42.71,26.42,19.94,64.35,12.48,38.9,4.9,12.3,1743.1
"Chambers, AL",41.28,28.18,20.96,65.92,13.91,36.7,5.7,13.2,1111.6
"Cherokee, AL",43.0,25.76,19.77,60.9,11.38,31.9,4.6,10.5,1217.7
"Chilton, AL",41.21,27.62,21.08,61.58,11.43,31.6,4.7,10.7,1528.6
"Choctaw, AL",41.88,24.66,17.62,63.45,14.62,31.5,4.9,10.9,1525.6
"Clarke, AL",42.21,24.2,17.74,65.52,13.88,34.6,5.1,11.9,1255.4
"Clay, AL",41.05,28.87,22.55,61.35,11.59,29.8,3.9,9.6,1554.7
"Cleburne, AL",42.41,28.52,22.84,62.64,11.08,30.8,5.0,11.0,1565.2
"Coffee, AL",39.85,23.26,16.66,69.91,11.59,40.2,5.7,12.7,1525.1
"Colbert, AL",40.2,25.16,18.69,65.84,12.56,36.2,5.0,12.2,1502.0
"Conecuh, AL",41.09,27.43,19.82,63.32,15.02,36.5,6.1,13.1,1234.2
"Coosa, AL",40.99,29.65,22.47,60.59,13.14,34.7,5.5,12.3,1314.1
"Covington, AL",41.42,28.47,21.41,64.91,11.2,35.8,5.8,12.7,1576.6
"Crenshaw, AL",41.4,27.32,20.37,66.06,12.84,31.5,4.9,10.5,1551.6
"Cullman, AL",41.04,26.8,20.13,67.42,11.26,32.9,4.1,10.2,1710.6
"Dale, AL",40.52,23.49,17.57,69.58,12.69,40.4,5.6,13.1,1200.4
"Dallas, AL",42.09,26.39,18.02,63.93,16.8,39.7,5.1,13.3,1656.2
"DeKalb, AL",41.34,27.46,20.89,61.52,11.98,31.0,4.3,10.0,1466.4
"Elmore, AL",39.01,26.15,19.18,67.6,11.67,42.9,6.2,13.3,1618.8
