county_state,hyp_total_2009,cig_total_2012,cig_daily_2012,obs_total_2006,dbt_total_2012,alc_any_2008,alc_heavy_2008,alc_binge_2008,hd_deaths_per100k_over65
"Jefferson, WA",33.29,19.84,13.73,87.26,7.6,66.5,10.6,17.5,838.3
"King, WA",32.3,14.15,9.1,84.01,7.87,64.8,9.5,17.9,780.5
"Kitsap, WA",34.22,19.76,13.9,82.62,8.63,59.8,7.8,16.1,942.8
"Kittitas, WA",35.49,16.75,11.17,83.23,8.47,63.5,9.7,19.1,838.2
"Klickitat, WA",35.61,21.5,15.26,79.1,8.98,54.5,8.3,16.4,670.7
"Lewis, WA",37.79,23.92,17.51,75.73,9.72,52.7,7.6,15.4,1235.1
"Lincoln, WA",36.09,19.71,14.44,79.56,8.47,59.2,10.3,18.4,950.2
"Mason, WA",36.81,24.36,17.61,79.51,9.6,58.4,10.0,17.7,949.4
"Okanogan, WA",34.63,21.9,15.08,75.06,9.5,54.0,7.7,15.8,920.9
"Pacific, WA",36.01,25.03,17.63,77.39,9.69,57.9,9.5,17.8,1527.1
"Pend Oreille, WA",37.51,23.22,17.25,78.09,8.93,58.3,10.6,18.7,908.2
"Pierce, WA",36.72,20.63,14.56,79.17,9.74,57.4,7.4,15.6,1009.6
"San Juan, WA",29.71,16.33,10.32,88.57,6.66,72.3,13.4,19.7,522.0
"Skagit, WA",35.02,20.51,14.51,80.31,8.7,59.6,8.4,16.9,870.4
"Skamania, WA",35.28,19.52,13.28,81.38,9.12,59.8,10.8,18.1,799.7
"Snohomish, WA",34.89,19.32,14.04,81.39,9.49,59.5,8.4,17.0,843.7
"Spokane, WA",34.59,20.38,15.09,79.5,8.78,60.0,8.4,17.4,896.1
"Stevens, WA",35.01,21.46,15.64,76.38,8.94,56.9,9.5,18.1,990.8
"Thurston, WA",35.11,18.97,13.23,81.86,9.47,60.4,7.8,16.5,871.8
"Wahkiakum, WA",37.33,23.68,16.46,80.14,9.29,57.8,10.6,19.7,1029.3
"Walla Walla, WA",34.01,18.43,13.08,80.62,9.21,51.8,6.6,15.3,870.5
"Whatcom, WA",34.29,17.94,12.46,84.36,8.46,62.7,8.8,17.1,858.5
"Whitman, WA",33.6,12.26,8.03,84.08,9.56,61.5,8.6,17.9,1008.4
"Yakima, WA",35.79,19.77,13.54,71.3,11.72,49.0,5.8,15.2,1240.0
"Barbour, WV",40.57,27.77,22.69,73.02,11.12,31.6,4.4,10.4,1108.5
"Berkeley, WV",38.43,26.13,20.6,73.03,10.94,43.9,5.5,12.9,1096.1
"Boone, WV",42.68,32.3,27.6,63.8,12.66,24.3,3.9,9.5,1302.0
"Braxton, WV",40.68,29.94,24.37,69.24,11.67,27.8,4.6,10.1,1063.4
"Brooke, WV",38.18,29.76,24.62,68.18,10.93,40.8,5.0,13.4,1393.2
"Cabell, WV",39.09,26.92,21.76,70.15,11.93,36.9,5.3,11.9,1026.0
"Calhoun, WV",40.48,31.8,25.95,64.95,12.29,26.3,4.2,9.9,1106.4
"Clay, WV",40.85,32.41,26.69,67.31,12.62,25.3,4.0,9.4,1113.0
"Doddridge, WV",39.8,30.7,24.72,68.11,11.57,29.0,4.2,10.1,1042.9
"Fayette, WV",40.95,31.36,26.48,67.23,12.06,30.8,5.2,11.3,1217.4
"Gilmer, WV",37.29,28.77,22.19,68.22,12.94,33.9,5.6,12.1,1107.6
"Grant, WV",38.6,30.59,25.25,69.05,10.4,36.8,4.8,11.2,1079.4
"Greenbrier, WV",39.52,27.33,22.06,73.13,10.18,36.3,5.9,12.3,1176.9
"Hampshire, WV",39.18,32.68,26.69,72.06,11.07,36.5,5.1,12.1,1030.6
"Hancock, WV",40.05,31.36,25.46,68.33,10.76,39.5,5.7,14.9,1426.7
"Hardy, WV",39.36,31.83,26.14,71.68,10.73,38.2,5.0,11.9,993.6
"Harrison, WV",37.68,25.76,20.8,73.27,10.66,39.4,5.5,12.0,1237.6
"Jackson, WV",40.2,29.03,23.48,70.13,11.72,31.2,4.3,10.2,1165.2
"Jefferson, WV",37.07,22.47,16.56,75.28,10.07,49.1,6.4,13.9,1051.2
"Kanawha, WV",38.91,26.47,21.37,69.25,11.0,36.4,4.7,11.4,1101.7
"Lewis, WV",39.84,27.56,22.47,71.69,10.45,35.0,5.5,11.5,1400.4
"Lincoln, WV",44.29,31.36,26.46,60.24,13.63,22.6,3.5,8.7,1111.3
"Logan, WV",43.86,32.03,26.83,62.03,12.92,22.8,3.6,9.0,1372.7
"McDowell, WV",46.87,33.87,28.0,51.93,15.64,19.3,3.2,8.3,1246.5
"Marion, WV",39.84,25.64,20.96,72.09,10.81,40.0,5.0,12.0,1674.8
"Marshall, WV",40.03,28.49,23.07,73.07,10.55,40.9,5.1,14.0,1196.8
"Mason, WV",40.39,32.36,27.32,64.03,12.19,30.2,4.5,10.4,1111.1
"Mercer, WV",40.06,28.86,23.16,70.02,12.55,29.0,4.0,9.5,1227.4
"Mineral, WV",39.01,29.54,23.74,74.3,10.55,40.4,5.9,13.1,1229.3
"Mingo, WV",43.7,31.95,25.77,58.43,13.54,22.7,3.8,9.2,1459.2
"Monongalia, WV",37.65,21.0,16.26,76.64,10.09,46.8,5.9,14.0,1156.3
"Monroe, WV",39.42,27.96,22.62,71.12,10.94,33.3,5.2,11.3,1144.1
"Morgan, WV",39.11,27.83,21.89,73.85,10.47,41.6,5.3,12.6,1110.9
"Nicholas, WV",40.45,28.75,23.43,70.29,10.78,29.5,4.8,10.5,1119.3
"Ohio, WV",38.09,26.28,21.15,71.37,9.63,49.4,6.5,16.4,1117.1
"Pendleton, WV",38.15,27.89,22.44,70.35,10.38,39.1,5.8,12.4,974.2
"Pleasants, WV",39.5,30.24,24.63,76.18,11.29,35.7,4.7,11.4,1335.0
"Pocahontas, WV",39.03,26.8,21.11,72.52,10.73,33.6,4.8,11.6,1095.3
"Preston, WV",38.91,28.82,23.86,72.34,10.64,36.4,5.1,11.8,1207.1
"Putnam, WV",37.71,24.17,19.85,73.57,11.25,37.2,4.5,10.8,1254.1
"Raleigh, WV",41.51,30.32,24.52,69.09,12.12,28.5,4.0,9.7,1420.0
"Randolph, WV",37.8,27.72,22.25,71.13,10.03,36.2,4.9,11.5,1085.5
"Ritchie, WV",40.96,30.54,24.49,73.17,11.77,30.8,4.3,10.3,1157.4
"Roane, WV",40.92,33.58,27.78,68.51,12.28,28.7,4.4,10.4,1114.1
"Summers, WV",42.98,28.44,22.87,68.33,12.4,28.4,4.2,10.1,1288.1
"Taylor, WV",39.5,26.54,22.12,71.84,10.76,38.0,5.2,11.7,1190.1
"Tucker, WV",39.58,26.24,20.82,73.1,10.27,37.0,5.2,11.7,1225.3
"Tyler, WV",38.86,29.52,23.88,71.65,11.07,30.6,4.1,10.0,1176.9
"Upshur, WV",39.37,26.37,21.45,71.88,10.25,31.3,4.8,10.6,1087.4
"Wayne, WV",41.15,31.17,25.45,65.69,13.35,27.9,4.2,10.2,1021.4
"Webster, WV",41.98,30.78,25.31,67.11,11.91,24.5,3.5,8.6,1199.0
"Wetzel, WV",39.58,28.3,23.11,71.73,11.06,34.7,4.2,11.0,1242.0
"Wirt, WV",39.0,30.25,24.15,71.69,11.68,29.7,4.3,9.7,1234.4
"Wood, WV",37.26,29.2,23.29,73.2,11.61,37.5,5.0,12.0,1271.2
"Wyoming, WV",42.63,31.72,26.42,60.87,12.85,23.5,4.2,9.5,1362.8
"Adams, WI",37.97,25.97,19.07,73.91,9.13,62.3,13.0,24.4,930.9
"Ashland, WI",35.03,23.61,17.25,76.57,8.61,67.5,15.1,30.5,1268.9
"Barron, WI",34.87,23.51,17.41,78.91,8.11,65.8,10.8,26.3,1094.5
"Bayfield, WI",35.54,20.99,14.96,78.12,8.37,70.5,14.5,30.1,864.5
"Brown, WI",33.63,19.1,13.92,81.59,9.02,73.3,12.5,28.0,1161.0
"Buffalo, WI",36.09,21.99,16.29,79.78,7.96,67.8,11.5,27.6,1038.2
"Burnett, WI",36.1,22.96,16.5,80.14,8.81,66.2,14.5,28.3,907.6
"Calumet, WI",35.49,17.72,13.22,80.3,8.67,73.6,11.9,26.1,1051.1
"Chippewa, WI",35.05,22.81,16.81,78.3,8.3,71.2,13.1,28.2,1099.1
"Clark, WI",38.47,23.97,18.4,73.34,9.21,63.8,10.6,25.1,1069.6
