county_state,hyp_total_2009
"Turner, GA",44.81
"Twiggs, GA",46.79
"Union, GA",38.39
"Upson, GA",41.78
"Walker, GA",40.76
"Walton, GA",39.75
"Ware, GA",43.64
"Warren, GA",48.77
"Washington, GA",46.88
"Wayne, GA",41.92
"Webster, GA",45.22
"Wheeler, GA",47.5
"White, GA",38.12
"Whitfield, GA",39.59
"Wilcox, GA",47.48
"Wilkes, GA",44.87
"Wilkinson, GA",43.29
"Worth, GA",45.21
"Hawaii, HI",33.41
"Honolulu, HI",32.58
"Kalawao, HI",35.35
"Kauai, HI",34.31
"Maui, HI",35.35
"Ada, ID",33.25
"Adams, ID",37.39
"Bannock, ID",35.24
"Bear Lake, ID",34.92
"Benewah, ID",35.31
"Bingham, ID",35.82
"Blaine, ID",28.8
"Boise, ID",34.67
"Bonner, ID",36.06
"Bonneville, ID",33.65
"Boundary, ID",35.8
"Butte, ID",36.34
"Camas, ID",36.56
"Canyon, ID",36.33
"Caribou, ID",34.62
"Cassia, ID",36.03
"Clark, ID",36.26
"Clearwater, ID",36.02
"Custer, ID",36.24
"Elmore, ID",36.69
"Franklin, ID",35.08
"Fremont, ID",36.45
"Gem, ID",36.76
"Gooding, ID",37.49
"Idaho, ID",36.66
"Jefferson, ID",33.98
"Jerome, ID",34.99
"Kootenai, ID",36.65
"Latah, ID",33.33
"Lemhi, ID",36.96
"Lewis, ID",36.88
"Lincoln, ID",34.77
"Madison, ID",38.41
"Minidoka, ID",36.46
"Nez Perce, ID",35.29
"Oneida, ID",35.6
"Owyhee, ID",36.5
"Payette, ID",37.7
"Power, ID",34.88
"Shoshone, ID",36.39
"Teton, ID",31.23
"Twin Falls, ID",35.51
"Valley, ID",32.03
"Washington, ID",36.22
"Adams, IL",37.03
"Alexander, IL",46.24
"Bond, IL",38.48
"Boone, IL",35.29
"Brown, IL",40.86
"Bureau, IL",36.26
"Calhoun, IL",36.95
"Carroll, IL",36.64
"Cass, IL",36.29
"Champaign, IL",36.46
"Christian, IL",39.02
"Clark, IL",38.54
"Clay, IL",38.98
"Clinton, IL",35.7
"Coles, IL",37.97
"Cook, IL",38.17
"Crawford, IL",39.29
"Cumberland, IL",38.28
"DeKalb, IL",36.44
"De Witt, IL",37.57
"Douglas, IL",36.5
"DuPage, IL",30.79
"Edgar, IL",38.02
"Edwards, IL",39.2
"Effingham, IL",36.8
"Fayette, IL",41.12
"Ford, IL",36.28
"Franklin, IL",39.14
"Fulton, IL",37.98
"Gallatin, IL",40.04
"Greene, IL",38.24
"Grundy, IL",36.5
"Hamilton, IL",39.95
"Hancock, IL",36.42
"Hardin, IL",39.79
"Henderson, IL",37.61
"Henry, IL",36.58
"Iroquois, IL",38.32
"Jackson, IL",37.8
"Jasper, IL",38.06
"Jefferson, IL",40.08
"Jersey, IL",36.97
"Jo Daviess, IL",36.8
"Johnson, IL",41.12
"Kane, IL",33.48
"Kankakee, IL",39.56
"Kendall, IL",36.0
"Knox, IL",37.65
"Lake, IL",31.16
"LaSalle, IL",37.22
"Lawrence, IL",39.02
"Lee, IL",37.86
"Livingston, IL",37.79
"Logan, IL",37.17
"McDonough, IL",37.58
"McHenry, IL",33.76
"McLean, IL",32.49
"Macon, IL",38.73
"Macoupin, IL",38.24
"Madison, IL",37.49
"Marion, IL",39.75
"Marshall, IL",36.8
"Mason, IL",38.29
"Massac, IL",39.79
"Menard, IL",36.22
"Mercer, IL",36.81
"Monroe, IL",36.32
"Montgomery, IL",38.31
"Morgan, IL",36.95
"Moultrie, IL",36.58
"Ogle, IL",35.95
"Peoria, IL",37.14
"Perry, IL",39.28
"Piatt, IL",35.65
"Pike, IL",38.54
"Pope, IL",39.34
"Pulaski, IL",44.95
"Putnam, IL",37.81
"Randolph, IL",39.16
"Richland, IL",37.46
"Rock Island, IL",37.01
"St. Clair, IL",41.72
"Saline, IL",39.06
"Sangamon, IL",35.62
"Schuyler, IL",37.32
"Scott, IL",37.01
"Shelby, IL",37.69
"Stark, IL",35.92
"Stephenson, IL",37.75
"Tazewell, IL",36.24
"Union, IL",38.7
"Vermilion, IL",40.13
"Wabash, IL",38.71
"Warren, IL",36.92
"Washington, IL",37.99
"Wayne, IL",38.92
"White, IL",38.29
"Whiteside, IL",37.02
"Will, IL",35.78
"Williamson, IL",37.93
"Winnebago, IL",36.81
"Woodford, IL",35.16
"Adams, IN",37.99
"Allen, IN",36.92
"Bartholomew, IN",35.78
"Benton, IN",36.8
"Blackford, IN",37.3
"Boone, IN",35.14
"Brown, IN",35.97
"Carroll, IN",37.2
"Cass, IN",38.23
"Clark, IN",38.46
"Clay, IN",38.44
"Clinton, IN",37.41
"Crawford, IN",39.91
"Daviess, IN",40.19
"Dearborn, IN",36.75
"Decatur, IN",38.26
"DeKalb, IN",36.96
"Delaware, IN",38.68
"Dubois, IN",36.07
"Elkhart, IN",36.59
"Fayette, IN",39.42
"Floyd, IN",36.96
"Fountain, IN",38.62
"Franklin, IN",38.0
"Fulton, IN",37.38
"Gibson, IN",39.24
"Grant, IN",40.84
"Greene, IN",38.8
"Hamilton, IN",29.51
"Hancock, IN",36.17
"Harrison, IN",38.1
"Hendricks, IN",35.92
"Henry, IN",38.51
"Howard, IN",37.42
"Huntington, IN",37.06
"Jackson, IN",36.59
"Jasper, IN",37.38
"Jay, IN",38.42
"Jefferson, IN",37.52
"Jennings, IN",38.87
"Johnson, IN",35.47
"Knox, IN",38.81
"Kosciusko, IN",35.5
"LaGrange, IN",39.0
"Lake, IN",39.93
"LaPorte, IN",39.12
"Lawrence, IN",38.57
"Madison, IN",38.38
"Marion, IN",39.55
"Marshall, IN",36.55
"Martin, IN",40.42
"Miami, IN",39.19
"Monroe, IN",35.79
"Montgomery, IN",37.34
"Morgan, IN",38.07
"Newton, IN",38.39
"Noble, IN",36.64
"Ohio, IN",38.43
"Orange, IN",38.48
"Owen, IN",39.67
"Parke, IN",38.69
"Perry, IN",39.31
"Pike, IN",38.6
"Porter, IN",35.3
"Posey, IN",37.77
"Pulaski, IN",38.02
"Putnam, IN",38.57
"Randolph, IN",38.84
"Ripley, IN",38.12
"Rush, IN",38.14
"St. Joseph, IN",37.4
"Scott, IN",39.17
"Shelby, IN",37.61
"Spencer, IN",38.03
"Starke, IN",39.79
"Steuben, IN",36.65
"Sullivan, IN",39.32
"Switzerland, IN",40.03
"Tippecanoe, IN",35.44
"Tipton, IN",38.64
"Union, IN",37.16
"Vanderburgh, IN",37.22
"Vermillion, IN",38.73
"Vigo, IN",38.1
"Wabash, IN",37.39
"Warren, IN",36.34
"Warrick, IN",35.15
"Washington, IN",38.36
"Wayne, IN",40.32
"Wells, IN",35.8
"White, IN",37.33
"Whitley, IN",36.51
"Adair, IA",35.69
"Adams, IA",36.12
"Allamakee, IA",34.41
"Appanoose, IA",37.96
"Audubon, IA",36.58
"Benton, IA",37.01
"Black Hawk, IA",36.03
"Boone, IA",35.05
"Bremer, IA",33.78
"Buchanan, IA",36.71
"Buena Vista, IA",33.84
"Butler, IA",36.61
"Calhoun, IA",37.15
"Carroll, IA",34.84
"Cass, IA",35.13
"Cedar, IA",36.28
"Cerro Gordo, IA",34.61
"Cherokee, IA",35.39
"Chickasaw, IA",36.29
"Clarke, IA",36.01
"Clay, IA",34.71
"Clayton, IA",36.26
"Clinton, IA",36.91
"Crawford, IA",35.13
"Dallas, IA",33.68
"Davis, IA",38.36
"Decatur, IA",37.01
"Delaware, IA",35.78
"Des Moines, IA",35.99
"Dickinson, IA",34.56
"Dubuque, IA",34.88
"Emmet, IA",36.57
"Fayette, IA",36.08
"Floyd, IA",36.57
"Franklin, IA",35.37
"Fremont, IA",36.58
"Greene, IA",35.93
"Grundy, IA",34.94
"Guthrie, IA",35.87
"Hamilton, IA",34.8
"Hancock, IA",36.26
"Hardin, IA",35.38
"Harrison, IA",36.93
"Henry, IA",36.69
"Howard, IA",34.95
"Humboldt, IA",36.07
"Ida, IA",37.11
"Iowa, IA",36.17
"Jackson, IA",35.97
"Jasper, IA",36.56
"Jefferson, IA",34.25
"Johnson, IA",32.22
"Jones, IA",35.88
"Keokuk, IA",37.38
"Kossuth, IA",36.41
"Lee, IA",37.52
"Linn, IA",34.09
"Louisa, IA",36.48
"Lucas, IA",37.15
"Lyon, IA",35.89
"Madison, IA",36.5
"Mahaska, IA",36.39
"Marion, IA",35.61
"Marshall, IA",35.32
"Mills, IA",36.51
"Mitchell, IA",36.48
"Monona, IA",35.66
"Monroe, IA",36.46
"Montgomery, IA",37.17
"Muscatine, IA",35.9
"O'Brien, IA",36.7
"Osceola, IA",36.51
"Page, IA",36.79
"Palo Alto, IA",37.62
"Plymouth, IA",35.92
"Pocahontas, IA",35.12
"Polk, IA",33.64
"Pottawattamie, IA",37.71
"Poweshiek, IA",34.91
"Ringgold, IA",37.62
"Sac, IA",36.83
"Scott, IA",35.18
"Shelby, IA",35.38
"Sioux, IA",35.15
"Story, IA",33.53
"Tama, IA",36.02
"Taylor, IA",37.09
"Union, IA",36.01
"Van Buren, IA",37.97
"Wapello, IA",36.86
"Warren, IA",35.35
"Washington, IA",36.62
"Wayne, IA",37.29
"Webster, IA",36.57
"Winnebago, IA",34.77
"Winneshiek, IA",33.9
"Woodbury, IA",36.69
"Worth, IA",35.99
"Wright, IA",36.1
"Allen, KS",39.14
"Anderson, KS",36.81
"Atchison, KS",37.79
"Barber, KS",34.72
"Barton, KS",36.65
"Bourbon, KS",36.97
"Brown, KS",35.32
"Butler, KS",36.39
"Chase, KS",36.04
"Chautauqua, KS",39.31
"Cherokee, KS",38.99
"Cheyenne, KS",35.06
"Clark, KS",33.14
"Clay, KS",35.45
"Cloud, KS",36.88
"Coffey, KS",34.84
"Comanche, KS",37.28
"Cowley, KS",37.28
"Crawford, KS",37.61
"Decatur, KS",34.34
"Dickinson, KS",34.55
"Doniphan, KS",37.29
"Douglas, KS",34.52
"Edwards, KS",36.24
"Elk, KS",38.52
"Ellis, KS",35.24
"Ellsworth, KS",37.1
"Finney, KS",35.83
"Ford, KS",35.78
"Franklin, KS",35.92
"Geary, KS",38.57
"Gove, KS",33.32
"Graham, KS",36.65
"Grant, KS",34.32
"Gray, KS",35.28
"Greeley, KS",34.38
"Greenwood, KS",37.34
"Hamilton, KS",34.05
"Harper, KS",38.57
"Harvey, KS",34.69
"Haskell, KS",34.86
"Hodgeman, KS",34.86
"Jackson, KS",35.96
"Jefferson, KS",38.2
"Jewell, KS",36.81
"Johnson, KS",29.49
"Kearny, KS",36.31
"Kingman, KS",36.96
"Kiowa, KS",36.48
"Labette, KS",38.41
"Lane, KS",35.98
"Leavenworth, KS",37.04
"Lincoln, KS",36.1
"Linn, KS",37.34
"Logan, KS",36.02
"Lyon, KS",34.99
"McPherson, KS",34.01
"Marion, KS",36.13
"Marshall, KS",35.41
"Meade, KS",35.49
"Miami, KS",35.46
"Mitchell, KS",35.13
"Montgomery, KS",39.21
"Morris, KS",36.96
"Morton, KS",36.05
"Nemaha, KS",35.32
"Neosho, KS",37.39
"Ness, KS",35.14
"Norton, KS",35.99
"Osage, KS",36.55
"Osborne, KS",36.01
"Ottawa, KS",34.77
"Pawnee, KS",37.44
"Phillips, KS",35.87
"Pottawatomie, KS",33.44
"Pratt, KS",35.67
"Rawlins, KS",33.75
"Reno, KS",37.09
"Republic, KS",33.53
"Rice, KS",36.28
"Riley, KS",35.9
"Rooks, KS",35.84
"Rush, KS",36.64
"Russell, KS",37.44
"Saline, KS",35.98
"Scott, KS",34.27
"Sedgwick, KS",36.42
"Seward, KS",35.49
"Shawnee, KS",35.5
"Sheridan, KS",35.07
"Sherman, KS",36.95
"Smith, KS",35.91
"Stafford, KS",36.01
"Stanton, KS",34.73
"Stevens, KS",36.47
"Sumner, KS",36.93
"Thomas, KS",34.45
"Trego, KS",36.47
"Wabaunsee, KS",35.24
"Wallace, KS",36.02
"Washington, KS",35.67
"Wichita, KS",34.93
"Wilson, KS",37.21
"Woodson, KS",38.24
"Wyandotte, KS",41.69
"Adair, KY",40.8
"Allen, KY",40.16
"Anderson, KY",39.02
"Ballard, KY",39.39
"Barren, KY",38.83
"Bath, KY",41.62
"Bell, KY",45.04
"Boone, KY",37.55
"Bourbon, KY",39.17
"Boyd, KY",39.67
"Boyle, KY",40.54
"Bracken, KY",38.92
"Breathitt, KY",43.33
"Breckinridge, KY",41.24
"Bullitt, KY",39.3
"Butler, KY",41.14
"Caldwell, KY",39.82
"Calloway, KY",38.15
"Campbell, KY",36.26
"Carlisle, KY",39.58
"Carroll, KY",41.16
"Carter, KY",42.44
"Casey, KY",41.77
"Christian, KY",42.43
"Clark, KY",39.16
"Clay, KY",46.74
"Clinton, KY",40.82
"Crittenden, KY",41.1
"Cumberland, KY",41.26
"Daviess, KY",37.78
"Edmonson, KY",41.32
"Elliott, KY",43.37
"Estill, KY",41.8
"Fayette, KY",35.72
"Fleming, KY",40.47
"Floyd, KY",44.05
"Franklin, KY",37.51
"Fulton, KY",42.42
"Gallatin, KY",41.57
"Garrard, KY",39.57
"Grant, KY",39.81
"Graves, KY",40.19
"Grayson, KY",41.6
"Green, KY",40.67
"Greenup, KY",40.59
"Hancock, KY",38.97
"Hardin, KY",39.81
"Harlan, KY",44.76
"Harrison, KY",38.81
"Hart, KY",42.83
"Henderson, KY",40.27
"Henry, KY",39.44
"Hickman, KY",42.23
"Hopkins, KY",40.02
"Jackson, KY",43.67
"Jefferson, KY",39.25
"Jessamine, KY",38.0
"Johnson, KY",40.58
"Kenton, KY",36.54
"Knott, KY",43.04
"Knox, KY",45.68
"Larue, KY",40.1
"Laurel, KY",41.48
"Lawrence, KY",44.7
"Lee, KY",45.11
"Leslie, KY",43.61
"Letcher, KY",44.95
"Lewis, KY",43.11
"Lincoln, KY",40.91
"Livingston, KY",39.63
"Logan, KY",42.03
"Lyon, KY",41.13
"McCracken, KY",38.84
