county_state,obs_total_2006
"Wilkes, GA",62.57
"Wilkinson, GA",65.21
"Worth, GA",66.54
"Hawaii, HI",80.5
"Honolulu, HI",80.28
"Kalawao, HI",82.84
"Kauai, HI",82.45
"Maui, HI",82.84
"Ada, ID",81.64
"Adams, ID",77.24
"Bannock, ID",78.11
"Bear Lake, ID",77.29
"Benewah, ID",76.73
"Bingham, ID",75.65
"Blaine, ID",83.19
"Boise, ID",76.57
"Bonner, ID",80.63
"Bonneville, ID",78.15
"Boundary, ID",77.78
"Butte, ID",77.23
"Camas, ID",77.93
"Canyon, ID",74.35
"Caribou, ID",76.91
"Cassia, ID",73.68
"Clark, ID",67.18
"Clearwater, ID",76.3
"Custer, ID",80.41
"Elmore, ID",74.22
"Franklin, ID",77.79
"Fremont, ID",78.42
"Gem, ID",71.81
"Gooding, ID",69.31
"Idaho, ID",73.99
"Jefferson, ID",75.03
"Jerome, ID",70.28
"Kootenai, ID",80.57
"Latah, ID",80.91
"Lemhi, ID",78.86
"Lewis, ID",77.05
"Lincoln, ID",75.06
"Madison, ID",78.56
"Minidoka, ID",69.93
"Nez Perce, ID",77.42
"Oneida, ID",78.08
"Owyhee, ID",67.49
"Payette, ID",73.93
"Power, ID",72.43
"Shoshone, ID",72.6
"Teton, ID",81.99
"Twin Falls, ID",73.89
"Valley, ID",80.0
"Washington, ID",73.76
"Adams, IL",72.88
"Alexander, IL",64.05
"Bond, IL",69.77
"Boone, IL",73.62
"Brown, IL",68.53
"Bureau, IL",74.65
"Calhoun, IL",73.33
"Carroll, IL",74.27
"Cass, IL",73.21
"Champaign, IL",76.24
"Christian, IL",70.84
"Clark, IL",71.07
"Clay, IL",70.99
"Clinton, IL",70.07
"Coles, IL",72.64
"Cook, IL",72.66
"Crawford, IL",70.8
"Cumberland, IL",74.23
"DeKalb, IL",76.14
"De Witt, IL",75.14
"Douglas, IL",70.55
"DuPage, IL",79.59
"Edgar, IL",71.85
"Edwards, IL",73.66
"Effingham, IL",74.28
"Fayette, IL",67.81
"Ford, IL",73.14
"Franklin, IL",69.8
"Fulton, IL",69.67
"Gallatin, IL",66.56
"Greene, IL",70.87
"Grundy, IL",74.61
"Hamilton, IL",66.03
"Hancock, IL",72.3
"Hardin, IL",66.75
"Henderson, IL",72.86
"Henry, IL",74.5
"Iroquois, IL",71.78
"Jackson, IL",75.23
"Jasper, IL",72.79
"Jefferson, IL",69.35
"Jersey, IL",72.96
"Jo Daviess, IL",78.23
"Johnson, IL",66.93
"Kane, IL",74.7
"Kankakee, IL",69.4
"Kendall, IL",78.61
"Knox, IL",72.75
"Lake, IL",77.47
"La Salle, IL",73.37
"Lawrence, IL",69.91
"Lee, IL",73.44
"Livingston, IL",72.13
"Logan, IL",71.78
"McDonough, IL",73.62
"McHenry, IL",80.1
"McLean, IL",78.73
"Macon, IL",72.8
"Macoupin, IL",72.68
"Madison, IL",70.85
"Marion, IL",70.4
"Marshall, IL",75.97
"Mason, IL",71.5
"Massac, IL",70.58
"Menard, IL",76.78
"Mercer, IL",76.09
"Monroe, IL",74.39
"Montgomery, IL",70.23
"Morgan, IL",72.82
"Moultrie, IL",70.94
"Ogle, IL",73.71
"Peoria, IL",75.26
"Perry, IL",70.03
"Piatt, IL",75.36
"Pike, IL",73.71
"Pope, IL",70.62
"Pulaski, IL",65.09
"Putnam, IL",73.33
"Randolph, IL",70.3
"Richland, IL",74.59
"Rock Island, IL",71.59
"St. Clair, IL",69.4
"Saline, IL",67.5
"Sangamon, IL",75.73
"Schuyler, IL",74.43
"Scott, IL",74.4
"Shelby, IL",74.63
"Stark, IL",75.53
"Stephenson, IL",74.93
"Tazewell, IL",74.18
"Union, IL",68.84
"Vermilion, IL",65.97
"Wabash, IL",71.12
"Warren, IL",73.67
"Washington, IL",72.27
"Wayne, IL",70.68
"White, IL",68.71
"Whiteside, IL",72.03
"Will, IL",73.17
"Williamson, IL",72.68
"Winnebago, IL",70.54
"Woodford, IL",78.83
"Adams, IN",72.15
"Allen, IN",75.42
"Bartholomew, IN",71.48
"Benton, IN",73.33
"Blackford, IN",69.52
"Boone, IN",76.25
"Brown, IN",73.8
"Carroll, IN",71.54
"Cass, IN",67.48
"Clark, IN",67.86
"Clay, IN",72.78
"Clinton, IN",67.99
"Crawford, IN",65.43
"Daviess, IN",68.42
"Dearborn, IN",69.96
"Decatur, IN",69.26
"DeKalb, IN",75.24
"Delaware, IN",70.48
"Dubois, IN",74.68
"Elkhart, IN",72.36
"Fayette, IN",67.41
"Floyd, IN",71.94
"Fountain, IN",68.34
"Franklin, IN",72.27
"Fulton, IN",70.57
"Gibson, IN",73.21
"Grant, IN",69.06
"Greene, IN",70.89
"Hamilton, IN",80.1
"Hancock, IN",72.35
"Harrison, IN",72.21
"Hendricks, IN",76.23
"Henry, IN",68.6
"Howard, IN",68.83
"Huntington, IN",75.03
"Jackson, IN",68.56
"Jasper, IN",72.62
"Jay, IN",67.2
"Jefferson, IN",71.16
"Jennings, IN",66.11
"Johnson, IN",71.83
"Knox, IN",70.74
"Kosciusko, IN",74.28
