county_state,cig_total_2012,cig_daily_2012
"Glascock, GA",25.9,19.93
"Glynn, GA",22.62,15.7
"Gordon, GA",26.23,19.2
"Grady, GA",24.57,17.49
"Greene, GA",23.55,16.23
"Gwinnett, GA",16.35,10.45
"Habersham, GA",22.6,16.93
"Hall, GA",20.29,14.79
"Hancock, GA",27.05,17.91
"Haralson, GA",27.58,22.05
"Harris, GA",19.35,13.24
"Hart, GA",23.83,17.11
"Heard, GA",28.74,22.64
"Henry, GA",20.52,13.64
"Houston, GA",20.58,14.5
"Irwin, GA",28.19,20.64
"Jackson, GA",22.36,16.3
"Jasper, GA",24.0,17.5
"Jeff Davis, GA",25.07,18.41
"Jefferson, GA",25.84,18.26
"Jenkins, GA",26.24,18.63
"Johnson, GA",27.16,19.89
"Jones, GA",22.47,16.5
"Lamar, GA",26.02,18.63
"Lanier, GA",26.35,19.21
"Laurens, GA",24.93,18.12
"Lee, GA",24.15,17.78
"Liberty, GA",21.85,14.83
"Lincoln, GA",25.53,18.49
"Long, GA",24.85,17.92
"Lowndes, GA",23.29,16.27
"Lumpkin, GA",21.74,15.99
"McDuffie, GA",25.92,18.83
"McIntosh, GA",25.89,18.25
"Macon, GA",27.57,18.89
"Madison, GA",26.14,19.43
"Marion, GA",28.8,21.08
"Meriwether, GA",28.3,20.75
"Miller, GA",24.98,18.25
"Mitchell, GA",27.03,19.35
"Monroe, GA",23.68,17.03
"Montgomery, GA",23.68,16.64
"Morgan, GA",21.49,15.31
"Murray, GA",29.16,22.11
"Muscogee, GA",23.14,16.14
"Newton, GA",22.81,15.84
"Oconee, GA",15.9,10.55
"Oglethorpe, GA",23.5,16.68
"Paulding, GA",22.24,16.96
"Peach, GA",22.64,15.42
"Pickens, GA",23.24,17.32
"Pierce, GA",27.05,20.62
"Pike, GA",24.43,17.93
"Polk, GA",26.98,20.64
"Pulaski, GA",27.83,20.91
"Putnam, GA",22.22,15.71
"Quitman, GA",28.34,20.33
"Rabun, GA",22.33,15.74
"Randolph, GA",25.39,17.4
"Richmond, GA",23.74,16.42
"Rockdale, GA",20.26,12.91
"Schley, GA",25.99,19.05
"Screven, GA",26.52,19.16
"Seminole, GA",25.12,18.13
"Spalding, GA",26.37,18.89
"Stephens, GA",24.98,18.76
"Stewart, GA",27.62,18.29
"Sumter, GA",24.3,16.66
"Talbot, GA",25.56,17.38
"Taliaferro, GA",26.37,17.88
"Tattnall, GA",26.9,19.45
"Taylor, GA",26.72,19.08
"Telfair, GA",25.59,17.8
"Terrell, GA",27.78,19.69
"Thomas, GA",24.53,17.24
"Tift, GA",25.34,17.47
"Toombs, GA",23.67,16.97
"Towns, GA",22.54,16.73
"Treutlen, GA",28.14,21.02
"Troup, GA",24.66,17.95
"Turner, GA",27.68,20.01
"Twiggs, GA",26.37,19.03
"Union, GA",21.7,15.8
"Upson, GA",28.06,21.02
"Walker, GA",26.96,20.41
"Walton, GA",23.09,16.89
"Ware, GA",26.49,19.31
"Warren, GA",27.45,18.97
"Washington, GA",25.93,18.45
"Wayne, GA",27.06,20.04
"Webster, GA",24.43,17.17
"Wheeler, GA",27.93,20.06
"White, GA",21.51,16.22
"Whitfield, GA",25.08,17.96
"Wilcox, GA",27.77,20.09
"Wilkes, GA",27.02,19.23
"Wilkinson, GA",25.29,18.16
"Worth, GA",27.57,20.22
"Hawaii, HI",19.85,13.98
"Honolulu, HI",16.1,11.23
"Kauai, HI",19.09,13.38
"Kalawao County/Maui, HI",16.73,11.27
"Ada, ID",16.62,12.43
"Adams, ID",22.65,16.79
"Bannock, ID",21.19,15.53
"Bear Lake, ID",19.12,14.48
"Benewah, ID",26.92,20.36
"Bingham, ID",19.98,14.13
"Blaine, ID",13.91,9.15
"Boise, ID",21.65,16.28
"Bonner, ID",22.72,16.98
"Bonneville, ID",16.1,11.54
"Boundary, ID",25.85,20.06
"Butte, ID",21.08,15.49
"Camas, ID",22.42,16.74
"Canyon, ID",21.01,15.51
"Caribou, ID",20.51,15.21
"Cassia, ID",20.44,15.07
"Clark, ID",22.17,15.54
"Clearwater, ID",26.11,19.56
"Custer, ID",20.23,14.62
"Elmore, ID",22.43,17.23
"Franklin, ID",20.0,15.28
"Fremont, ID",19.56,14.27
"Gem, ID",23.37,18.17
"Gooding, ID",23.07,17.35
"Idaho, ID",25.03,18.98
"Jefferson, ID",16.48,12.31
"Jerome, ID",22.0,16.22
"Kootenai, ID",23.02,16.96
"Latah, ID",15.56,10.49
"Lemhi, ID",23.49,17.61
"Lewis, ID",23.38,17.04
"Lincoln, ID",21.76,15.87
"Madison, ID",13.06,9.55
"Minidoka, ID",21.88,16.36
"Nez Perce, ID",24.09,17.84
"Oneida, ID",20.7,15.92
"Owyhee, ID",24.61,18.67
"Payette, ID",24.13,17.74
"Power, ID",20.12,14.26
"Shoshone, ID",26.58,20.27
"Teton, ID",14.2,9.39
"Twin Falls, ID",23.49,18.19
"Valley, ID",18.98,13.26
"Washington, ID",25.14,18.81
"Adams, IL",23.23,17.5
"Alexander, IL",27.96,20.65
"Bond, IL",22.66,17.01
"Boone, IL",21.82,16.06
"Brown, IL",25.9,19.12
"Bureau, IL",24.13,18.02
"Calhoun, IL",22.12,16.45
"Carroll, IL",22.01,16.41
"Cass, IL",25.25,18.96
"Champaign, IL",17.19,11.35
"Christian, IL",27.88,21.81
"Clark, IL",23.83,17.95
"Clay, IL",25.57,19.89
"Clinton, IL",22.96,17.79
"Coles, IL",22.54,16.91
"Cook, IL",19.26,12.47
"Crawford, IL",24.07,18.16
"Cumberland, IL",24.2,18.31
"DeKalb, IL",19.1,13.34
"De Witt, IL",24.21,19.16
"Douglas, IL",24.48,18.66
"DuPage, IL",14.88,10.1
"Edgar, IL",25.97,20.04
"Edwards, IL",24.52,18.74
"Effingham, IL",22.28,16.77
"Fayette, IL",25.03,19.22
"Ford, IL",24.4,18.47
"Franklin, IL",25.94,20.19
"Fulton, IL",25.16,19.32
"Gallatin, IL",26.76,20.56
"Greene, IL",26.05,19.88
"Grundy, IL",23.38,17.38
"Hamilton, IL",23.86,18.35
"Hancock, IL",23.23,17.42
"Hardin, IL",25.73,19.35
"Henderson, IL",23.38,17.72
"Henry, IL",22.27,16.89
"Iroquois, IL",24.31,18.55
"Jackson, IL",17.78,12.23
"Jasper, IL",23.18,17.7
"Jefferson, IL",24.56,18.56
"Jersey, IL",23.55,17.99
"Jo Daviess, IL",19.72,14.27
"Johnson, IL",24.56,17.93
"Kane, IL",17.3,11.69
"Kankakee, IL",25.43,18.49
"Kendall, IL",16.82,11.63
"Knox, IL",25.32,19.46
"Lake, IL",16.49,11.01
"LaSalle, IL",24.3,18.08
"Lawrence, IL",28.04,21.99
"Lee, IL",24.84,18.37
"Livingston, IL",26.27,19.84
"Logan, IL",25.64,19.73
"McDonough, IL",19.03,13.67
"McHenry, IL",18.57,13.02
"McLean, IL",16.29,11.26
"Macon, IL",24.6,18.55
"Macoupin, IL",25.8,19.46
"Madison, IL",23.89,18.52
"Marion, IL",25.76,20.08
"Marshall, IL",22.78,16.89
"Mason, IL",25.05,19.32
"Massac, IL",24.16,18.19
"Menard, IL",22.8,17.11
"Mercer, IL",23.59,18.23
"Monroe, IL",20.59,15.82
"Montgomery, IL",27.7,21.61
"Morgan, IL",24.28,18.06
"Moultrie, IL",24.94,19.62
"Ogle, IL",21.8,16.26
"Peoria, IL",20.74,14.99
"Perry, IL",25.39,19.34
"Piatt, IL",20.78,15.35
"Pike, IL",25.57,19.59
"Pope, IL",24.81,18.36
"Pulaski, IL",24.5,17.35
"Putnam, IL",23.35,17.19
"Randolph, IL",26.8,21.12
"Richland, IL",23.3,17.87
"Rock Island, IL",21.71,16.19
"St. Clair, IL",23.05,17.32
"Saline, IL",25.65,19.85
"Sangamon, IL",22.19,15.88
"Schuyler, IL",23.49,17.71
"Scott, IL",23.09,17.25
"Shelby, IL",23.3,17.81
"Stark, IL",23.01,17.36
"Stephenson, IL",22.73,17.04
"Tazewell, IL",21.56,16.57
"Union, IL",23.78,17.78
"Vermilion, IL",26.86,20.58
"Wabash, IL",23.49,18.34
"Warren, IL",23.99,18.19
"Washington, IL",21.5,16.52
"Wayne, IL",25.31,19.7
"White, IL",24.58,19.12
"Whiteside, IL",23.5,17.74
"Will, IL",19.47,13.47
"Williamson, IL",22.64,16.87
"Winnebago, IL",22.89,16.86
"Woodford, IL",19.42,14.24
"Adams, IN",26.75,21.1
"Allen, IN",23.2,16.42
"Bartholomew, IN",20.79,15.72
"Benton, IN",25.03,19.27
"Blackford, IN",29.66,23.77
"Boone, IN",18.26,13.03
"Brown, IN",23.06,17.07
"Carroll, IN",24.44,18.51
"Cass, IN",27.17,20.25
"Clark, IN",27.16,21.01
"Clay, IN",26.82,20.54
"Clinton, IN",25.66,20.0
"Crawford, IN",27.14,20.96
"Daviess, IN",28.77,22.89
"Dearborn, IN",25.97,20.35
"Decatur, IN",26.06,20.89
"DeKalb, IN",25.79,20.49
"Delaware, IN",25.73,19.49
"Dubois, IN",23.08,17.5
"Elkhart, IN",23.65,17.96
"Fayette, IN",32.05,26.26
"Floyd, IN",25.79,19.92
"Fountain, IN",27.26,21.53
"Franklin, IN",25.42,19.46
"Fulton, IN",26.54,20.53
"Gibson, IN",24.8,19.61
"Grant, IN",26.83,20.75
"Greene, IN",27.75,21.11
"Hamilton, IN",14.33,9.51
"Hancock, IN",23.69,17.64
"Harrison, IN",26.03,20.47
"Hendricks, IN",20.28,14.79
"Henry, IN",28.64,22.5
"Howard, IN",25.56,19.31
"Huntington, IN",26.43,19.92
"Jackson, IN",25.82,20.31
"Jasper, IN",26.22,19.95
"Jay, IN",29.29,23.74
"Jefferson, IN",26.55,21.06
"Jennings, IN",27.94,22.77
"Johnson, IN",23.6,18.41
"Knox, IN",27.08,21.54
"Kosciusko, IN",24.83,18.9
"LaGrange, IN",27.37,21.99
"Lake, IN",26.22,18.61
"LaPorte, IN",28.75,21.48
"Lawrence, IN",26.68,20.76
"Madison, IN",27.68,21.29
"Marion, IN",25.73,18.7
"Marshall, IN",24.64,18.83
"Martin, IN",27.4,21.31
"Miami, IN",30.2,23.44
"Monroe, IN",17.3,11.75
"Montgomery, IN",24.94,19.36
"Morgan, IN",27.99,21.7
"Newton, IN",29.56,22.79
"Noble, IN",25.65,19.57
"Ohio, IN",25.04,19.59
"Orange, IN",25.85,19.8
"Owen, IN",28.55,21.7
"Parke, IN",27.57,21.27
"Perry, IN",28.95,23.1
"Pike, IN",26.22,20.7
"Porter, IN",24.09,17.98
"Posey, IN",23.08,17.64
"Pulaski, IN",25.99,19.82
"Putnam, IN",26.78,20.35
"Randolph, IN",27.32,21.84
"Ripley, IN",24.36,19.27
"Rush, IN",27.15,21.29
"St. Joseph, IN",23.23,16.94
"Scott, IN",29.72,24.17
"Shelby, IN",27.08,21.49
"Spencer, IN",23.36,17.53
"Starke, IN",28.53,22.0
"Steuben, IN",23.96,18.59
"Sullivan, IN",27.66,20.63
"Switzerland, IN",28.1,22.41
"Tippecanoe, IN",18.09,13.09
"Tipton, IN",24.84,19.46
"Union, IN",25.14,19.06
"Vanderburgh, IN",25.53,19.49
"Vermillion, IN",27.06,21.27
"Vigo, IN",26.03,19.36
"Wabash, IN",26.65,20.62
"Warren, IN",25.98,20.49
"Warrick, IN",20.46,15.29
"Washington, IN",27.73,21.78
"Wayne, IN",27.81,21.99
"Wells, IN",25.86,20.1
"White, IN",24.41,18.73
"Whitley, IN",26.53,19.66
"Adair, IA",22.35,16.8
"Adams, IA",22.32,16.57
"Allamakee, IA",22.6,17.61
"Appanoose, IA",24.89,19.15
"Audubon, IA",22.24,16.53
"Benton, IA",21.74,15.95
"Black Hawk, IA",20.83,15.33
"Boone, IA",23.19,17.03
"Bremer, IA",17.28,12.62
"Buchanan, IA",21.74,16.45
"Buena Vista, IA",19.33,13.96
"Butler, IA",21.53,16.44
"Calhoun, IA",20.66,14.81
"Carroll, IA",22.7,17.23
"Cass, IA",23.46,17.77
"Cedar, IA",21.95,16.01
"Cerro Gordo, IA",22.6,17.2
"Cherokee, IA",21.14,15.94
"Chickasaw, IA",22.7,17.65
"Clarke, IA",24.82,19.0
"Clay, IA",22.66,17.34
"Clayton, IA",21.51,16.56
"Clinton, IA",23.25,17.63
"Crawford, IA",23.4,17.28
"Dallas, IA",15.54,10.9
"Davis, IA",24.07,18.04
"Decatur, IA",22.21,16.39
"Delaware, IA",22.24,17.14
"Des Moines, IA",23.74,18.03
