county_state,hd_deaths_per100k_over65
"Chambers, AL",1111.6
"Chambers, TX",1283.7
"Champaign, IL",860.7
"Champaign, OH",1187.2
"Chariton, MO",1144.6
"Charles City, VA",1006.2
"Charles Mix, SD",986.0
"Charles, MD",1022.3
"Charleston, SC",834.8
"Charlevoix, MI",1058.8
"Charlotte, FL",675.5
"Charlotte, VA",1124.3
"Charlton, GA",943.3
"Chase, KS",1209.1
"Chase, NE",1035.0
"Chatham, GA",1029.8
"Chatham, NC",706.3
"Chattahoochee, GA",1132.1
"Chattooga, GA",1536.2
"Chautauqua, KS",1275.6
"Chautauqua, NY",1222.8
"Chaves, NM",1602.5
"Cheatham, TN",1340.6
"Cheboygan, MI",1177.8
"Chelan, WA",841.8
"Chemung, NY",1288.2
"Chenango, NY",1638.7
"Cherokee, AL",1217.7
"Cherokee, GA",978.9
"Cherokee, IA",1110.8
"Cherokee, KS",1537.4
"Cherokee, NC",1074.9
"Cherokee, OK",1487.9
"Cherokee, SC",1176.6
"Cherokee, TX",1358.1
"Cherry, NE",956.2
"Cheshire, NH",964.3
"Chester, PA",1028.1
"Chester, SC",1213.4
"Chester, TN",1315.9
"Chesterfield, SC",1321.2
"Chesterfield, VA",973.1
"Cheyenne, CO",785.2
"Cheyenne, KS",1046.4
"Cheyenne, NE",942.2
"Chickasaw, IA",1254.0
"Chickasaw, MS",1267.3
"Chicot, AR",1366.9
"Childress, TX",1263.7
"Chilton, AL",1528.6
"Chippewa, MI",1130.1
"Chippewa, MN",910.9
"Chippewa, WI",1099.1
"Chisago, MN",970.0
"Chittenden, VT",798.2
"Choctaw, AL",1525.6
"Choctaw, MS",1115.4
"Choctaw, OK",1489.3
"Chouteau, MT",956.0
"Chowan, NC",1008.1
"Christian, IL",1162.9
"Christian, KY",1233.4
"Christian, MO",1037.7
"Churchill, NV",1384.2
"Cibola, NM",977.5
"Cimarron, OK",1112.5
"Citrus, FL",1201.9
"Clackamas, OR",807.3
"Claiborne, LA",1183.4
"Claiborne, MS",1728.7
"Claiborne, TN",1460.6
"Clallam, WA",837.7
"Clare, MI",1387.4
"Clarendon, SC",1021.4
"Clarion, PA",1170.3
"Clark, AR",1327.6
"Clark, ID",1060.6
"Clark, IL",1319.8
"Clark, IN",1127.8
"Clark, KS",1185.0
"Clark, KY",1291.1
"Clark, MO",1233.3
"Clark, NV",1236.0
"Clark, OH",1208.7
"Clark, SD",858.2
"Clark, WA",966.8
"Clark, WI",1069.6
"Clarke, AL",1255.4
"Clarke, GA",1077.8
"Clarke, IA",1241.0
"Clarke, MS",1573.7
"Clarke, VA",1053.7
"Clatsop, OR",910.8
"Clay, AL",1554.7
"Clay, AR",1291.9
"Clay, FL",920.4
"Clay, GA",1308.1
"Clay, IA",1040.4
"Clay, IL",1268.6
"Clay, IN",1475.5
"Clay, KS",1023.0
"Clay, KY",1508.3
"Clay, MN",880.3
"Clay, MO",975.4
"Clay, MS",1188.0
"Clay, NC",1029.8
"Clay, NE",1068.0
"Clay, SD",1080.4
"Clay, TN",1521.2
"Clay, TX",1085.5
"Clay, WV",1113.0
"Clayton, GA",1109.9
"Clayton, IA",961.1
"Clear Creek, CO",725.9
"Clearfield, PA",1167.4
"Clearwater, ID",891.8
"Clearwater, MN",935.8
"Cleburne, AL",1565.2
"Cleburne, AR",958.1
"Clermont, OH",1037.5
"Cleveland, AR",1314.8
"Cleveland, NC",1126.3
"Cleveland, OK",1130.3
"Clinch, GA",1583.2
"Clinton, IA",1171.4
"Clinton, IL",1268.9
"Clinton, IN",1086.5
"Clinton, KY",1263.6
"Clinton, MI",1015.5
"Clinton, MO",1197.7
"Clinton, NY",945.5
"Clinton, OH",1185.2
"Clinton, PA",1364.1
"Cloud, KS",1291.5
"Coahoma, MS",1179.3
"Coal, OK",1829.8
"Cobb, GA",918.5
