county_state,dbt_total_2012
"Pike, GA",10.3
"Polk, GA",12.6
"Pulaski, GA",13.22
"Putnam, GA",11.56
"Quitman, GA",14.95
"Rabun, GA",10.12
"Randolph, GA",16.16
"Richmond, GA",13.22
"Rockdale, GA",12.24
"Schley, GA",12.49
"Screven, GA",13.62
"Seminole, GA",12.25
"Spalding, GA",13.13
"Stephens, GA",11.04
"Stewart, GA",18.16
"Sumter, GA",14.78
"Talbot, GA",15.34
"Taliaferro, GA",16.77
"Tattnall, GA",13.44
"Taylor, GA",14.39
"Telfair, GA",15.83
"Terrell, GA",15.76
"Thomas, GA",12.74
"Tift, GA",13.6
"Toombs, GA",12.98
"Towns, GA",9.81
"Treutlen, GA",13.96
"Troup, GA",12.72
"Turner, GA",14.78
"Twiggs, GA",14.53
"Union, GA",9.74
"Upson, GA",12.45
"Walker, GA",12.61
"Walton, GA",10.9
"Ware, GA",13.08
"Warren, GA",15.99
"Washington, GA",14.58
"Wayne, GA",12.23
"Webster, GA",14.43
"Wheeler, GA",15.92
"White, GA",9.98
"Whitfield, GA",12.96
"Wilcox, GA",14.68
"Wilkes, GA",13.83
"Wilkinson, GA",13.71
"Worth, GA",13.24
"Hawaii, HI",6.8
"Honolulu, HI",7.57
"Kalawao, HI",6.95
"Kauai, HI",7.06
"Maui, HI",6.95
"Ada, ID",8.41
"Adams, ID",8.55
"Bannock, ID",10.26
"Bear Lake, ID",8.44
"Benewah, ID",9.23
"Bingham, ID",10.52
"Blaine, ID",7.36
"Boise, ID",8.66
"Bonner, ID",8.02
"Bonneville, ID",9.04
"Boundary, ID",8.69
"Butte, ID",8.92
"Camas, ID",8.87
"Canyon, ID",10.65
"Caribou, ID",8.9
"Cassia, ID",9.96
"Clark, ID",10.11
"Clearwater, ID",8.03
"Custer, ID",8.56
"Elmore, ID",9.85
"Franklin, ID",9.0
"Fremont, ID",8.25
"Gem, ID",8.97
"Gooding, ID",10.13
"Idaho, ID",8.7
"Jefferson, ID",8.84
"Jerome, ID",10.34
"Kootenai, ID",8.81
"Latah, ID",8.18
"Lemhi, ID",8.03
"Lewis, ID",9.18
"Lincoln, ID",10.23
"Madison, ID",8.92
"Minidoka, ID",11.18
"Nez Perce, ID",8.86
"Oneida, ID",9.29
"Owyhee, ID",10.62
"Payette, ID",9.19
"Power, ID",10.91
"Shoshone, ID",8.83
"Teton, ID",8.0
"Twin Falls, ID",9.26
"Valley, ID",7.39
"Washington, ID",9.52
"Adams, IL",9.08
"Alexander, IL",14.37
"Bond, IL",10.18
"Boone, IL",9.28
"Brown, IL",10.66
"Bureau, IL",9.04
"Calhoun, IL",9.61
"Carroll, IL",9.13
"Cass, IL",10.65
"Champaign, IL",9.62
"Christian, IL",10.55
"Clark, IL",9.73
"Clay, IL",9.94
"Clinton, IL",9.76
"Coles, IL",10.37
"Cook, IL",10.13
"Crawford, IL",9.91
"Cumberland, IL",9.89
"DeKalb, IL",9.56
"De Witt, IL",9.28
"Douglas, IL",9.57
"DuPage, IL",7.38
"Edgar, IL",10.03
"Edwards, IL",10.07
"Effingham, IL",8.69
"Fayette, IL",10.39
"Ford, IL",9.21
"Franklin, IL",10.65
"Fulton, IL",9.59
"Gallatin, IL",10.62
"Greene, IL",10.06
"Grundy, IL",9.24
"Hamilton, IL",9.97
"Hancock, IL",9.11
"Hardin, IL",10.65
"Henderson, IL",9.26
"Henry, IL",9.38
"Iroquois, IL",9.49
"Jackson, IL",10.67
"Jasper, IL",9.64
"Jefferson, IL",9.76
"Jersey, IL",9.51
"Jo Daviess, IL",8.48
"Johnson, IL",10.17
"Kane, IL",9.57
"Kankakee, IL",10.71
"Kendall, IL",9.04
"Knox, IL",9.81
"Lake, IL",8.59
"LaSalle, IL",9.9
"Lawrence, IL",10.96
"Lee, IL",8.81
"Livingston, IL",9.77
"Logan, IL",10.24
"McDonough, IL",9.89
"McHenry, IL",8.57
"McLean, IL",9.17
"Macon, IL",11.0
"Macoupin, IL",10.32
"Madison, IL",10.65
"Marion, IL",10.39
"Marshall, IL",8.9
"Mason, IL",9.72
"Massac, IL",10.76
"Menard, IL",9.23
"Mercer, IL",8.87
"Monroe, IL",9.0
"Montgomery, IL",10.25
"Morgan, IL",10.24
"Moultrie, IL",9.53
"Ogle, IL",9.28
"Peoria, IL",9.17
"Perry, IL",10.53
"Piatt, IL",8.69
"Pike, IL",9.92
"Pope, IL",10.84
"Pulaski, IL",13.39
"Putnam, IL",8.87
"Randolph, IL",10.41
"Richland, IL",9.4
"Rock Island, IL",10.32
"Saint Clair, IL",12.06
"Saline, IL",10.67
"Sangamon, IL",9.26
"Schuyler, IL",9.4
"Scott, IL",10.03
"Shelby, IL",9.5
"Stark, IL",8.9
"Stephenson, IL",9.66
"Tazewell, IL",9.18
"Union, IL",9.77
"Vermilion, IL",11.44
"Wabash, IL",9.76
"Warren, IL",9.34
"Washington, IL",9.38
"Wayne, IL",9.93
"White, IL",10.08
"Whiteside, IL",9.69
"Will, IL",9.75
"Williamson, IL",9.98
"Winnebago, IL",9.91
"Woodford, IL",8.17
"Adams, IN",11.25
"Allen, IN",10.59
"Bartholomew, IN",10.14
"Benton, IN",9.7
"Blackford, IN",10.99
"Boone, IN",8.08
"Brown, IN",10.01
"Carroll, IN",9.76
"Cass, IN",10.39
"Clark, IN",11.29
"Clay, IN",10.16
"Clinton, IN",10.86
"Crawford, IN",11.01
"Daviess, IN",10.61
"Dearborn, IN",10.39
"Decatur, IN",10.78
"DeKalb, IN",10.0
"Delaware, IN",11.52
"Dubois, IN",9.56
"Elkhart, IN",10.51
"Fayette, IN",11.91
"Floyd, IN",10.37
"Fountain, IN",10.4
"Franklin, IN",10.79
"Fulton, IN",9.95
"Gibson, IN",10.2
"Grant, IN",12.16
"Greene, IN",10.62
"Hamilton, IN",7.92
"Hancock, IN",9.63
"Harrison, IN",9.91
"Hendricks, IN",9.42
"Henry, IN",11.24
"Howard, IN",11.16
"Huntington, IN",10.43
"Jackson, IN",10.9
"Jasper, IN",9.27
"Jay, IN",10.97
"Jefferson, IN",10.75
"Jennings, IN",10.93
"Johnson, IN",9.59
"Knox, IN",10.23
"Kosciusko, IN",9.98
"LaGrange, IN",10.27
"Lake, IN",12.01
"LaPorte, IN",10.3
"Lawrence, IN",11.04
"Madison, IN",11.65
"Marion, IN",11.8
"Marshall, IN",9.51
"Martin, IN",10.52
"Miami, IN",11.17
"Monroe, IN",10.38
"Montgomery, IN",10.48
"Morgan, IN",10.22
"Newton, IN",9.81
"Noble, IN",10.18
"Ohio, IN",10.93
"Orange, IN",10.85
"Owen, IN",10.64
"Parke, IN",10.66
"Perry, IN",10.39
"Pike, IN",10.08
"Porter, IN",9.18
"Posey, IN",9.64
"Pulaski, IN",9.93
"Putnam, IN",10.17
"Randolph, IN",11.34
"Ripley, IN",10.16
"Rush, IN",10.62
"Saint Joseph, IN",9.84
"Scott, IN",11.16
"Shelby, IN",10.92
"Spencer, IN",9.57
"Starke, IN",9.88
"Steuben, IN",9.47
"Sullivan, IN",10.69
"Switzerland, IN",11.63
"Tippecanoe, IN",10.24
"Tipton, IN",9.96
"Union, IN",10.4
"Vanderburgh, IN",11.09
"Vermillion, IN",10.32
"Vigo, IN",10.5
"Wabash, IN",10.23
"Warren, IN",9.52
"Warrick, IN",8.57
"Washington, IN",10.77
"Wayne, IN",11.76
"Wells, IN",10.27
"White, IN",9.68
"Whitley, IN",9.65
"Adair, IA",8.75
"Adams, IA",9.02
"Allamakee, IA",8.14
"Appanoose, IA",9.24
"Audubon, IA",8.86
"Benton, IA",8.53
"Black Hawk, IA",9.25
"Boone, IA",8.37
"Bremer, IA",7.89
"Buchanan, IA",8.61
"Buena Vista, IA",9.58
"Butler, IA",8.45
"Calhoun, IA",8.6
"Carroll, IA",8.4
"Cass, IA",8.62
"Cedar, IA",8.56
"Cerro Gordo, IA",8.26
"Cherokee, IA",8.22
"Chickasaw, IA",8.45
"Clarke, IA",9.57
"Clay, IA",7.9
"Clayton, IA",8.24
"Clinton, IA",9.72
"Crawford, IA",9.9
"Dallas, IA",8.33
"Davis, IA",9.94
"Decatur, IA",9.94
"Delaware, IA",8.52
"Des Moines, IA",9.9
"Dickinson, IA",7.67
"Dubuque, IA",8.35
"Emmet, IA",8.53
"Fayette, IA",8.73
"Floyd, IA",8.61
"Franklin, IA",8.94
"Fremont, IA",8.95
"Greene, IA",8.62
"Grundy, IA",8.23
"Guthrie, IA",8.49
"Hamilton, IA",8.43
"Hancock, IA",8.31
"Hardin, IA",8.44
"Harrison, IA",8.61
"Henry, IA",9.43
"Howard, IA",8.47
