county_state,alc_any_2008,alc_heavy_2008,alc_binge_2008
"Becker, MN",62.3,9.1,22.7
"Beltrami, MN",59.4,9.1,21.7
"Benton, MN",64.9,9.1,22.1
"Big Stone, MN",61.4,8.7,22.4
"Blue Earth, MN",66.1,9.2,22.8
"Brown, MN",66.9,9.3,24.6
"Carlton, MN",63.3,10.1,24.2
"Carver, MN",71.4,8.6,21.9
"Cass, MN",59.1,9.1,21.4
"Chippewa, MN",63.3,7.4,22.8
"Chisago, MN",63.0,8.8,21.1
"Clay, MN",65.5,8.9,23.2
"Clearwater, MN",53.9,8.2,22.5
"Cook, MN",60.1,9.0,19.9
"Cottonwood, MN",60.1,7.7,20.8
"Crow Wing, MN",65.0,9.2,22.9
"Dakota, MN",69.0,8.6,21.3
"Dodge, MN",64.6,8.2,22.4
"Douglas, MN",67.1,8.2,21.4
"Faribault, MN",63.7,9.6,25.4
"Fillmore, MN",62.3,8.3,22.7
"Freeborn, MN",61.3,7.9,23.0
"Goodhue, MN",67.3,8.6,23.3
"Grant, MN",61.7,7.7,22.1
"Hennepin, MN",69.1,9.4,20.5
"Houston, MN",68.5,9.5,25.1
"Hubbard, MN",62.0,8.7,22.5
"Isanti, MN",61.6,8.9,22.0
"Itasca, MN",61.6,9.2,22.4
"Jackson, MN",61.0,7.7,20.0
"Kanabec, MN",55.6,8.0,20.7
"Kandiyohi, MN",60.9,6.3,18.5
"Kittson, MN",59.1,7.5,20.8
"Koochiching, MN",62.6,10.3,24.9
"Lac qui Parle, MN",62.0,7.7,22.0
"Lake, MN",63.8,9.4,23.3
"Lake of the Woods, MN",59.8,8.2,20.9
"Le Sueur, MN",64.2,9.3,23.7
"Lincoln, MN",61.2,8.7,22.4
"Lyon, MN",63.1,8.8,21.7
"Mahnomen, MN",54.4,11.7,24.4
"Marshall, MN",61.8,8.8,25.7
"Martin, MN",60.7,7.7,20.9
"McLeod, MN",64.2,7.2,19.2
"Meeker, MN",61.8,8.0,21.7
"Mille Lacs, MN",58.9,8.5,21.8
"Morrison, MN",66.4,11.5,27.5
"Mower, MN",63.7,8.9,23.4
"Murray, MN",62.4,9.1,23.3
"Nicollet, MN",68.8,8.8,22.4
"Nobles, MN",56.9,7.5,18.8
"Norman, MN",61.7,8.8,24.6
"Olmsted, MN",66.5,8.1,19.7
"Otter Tail, MN",63.6,8.5,22.1
"Pennington, MN",61.4,7.2,21.9
"Pine, MN",56.8,9.6,21.9
"Pipestone, MN",57.5,7.1,18.8
"Polk, MN",63.5,8.7,23.2
"Pope, MN",64.8,9.1,24.9
"Ramsey, MN",67.3,9.1,19.7
"Red Lake, MN",63.8,10.3,27.4
"Redwood, MN",62.6,8.8,22.7
"Renville, MN",61.6,8.9,22.8
"Rice, MN",65.5,8.2,21.9
"Rock, MN",61.0,7.1,20.1
"Roseau, MN",61.3,9.2,22.6
"Scott, MN",68.8,8.7,22.3
"Sherburne, MN",66.0,8.3,20.7
"Sibley, MN",61.7,8.5,21.8
"St. Louis, MN",64.3,10.7,24.5
"Stearns, MN",68.6,9.6,23.6
"Steele, MN",65.8,8.5,22.5
"Stevens, MN",64.5,8.2,22.3
"Swift, MN",63.1,8.4,22.6
"Todd, MN",61.6,8.5,20.9
"Traverse, MN",61.4,8.4,21.4
"Wabasha, MN",67.9,10.1,23.4
"Wadena, MN",58.6,8.0,20.3
"Waseca, MN",62.9,8.4,23.0
"Washington, MN",70.9,8.4,20.8
"Watonwan, MN",56.4,7.0,19.6
"Wilkin, MN",68.9,9.9,26.4
"Winona, MN",68.7,10.3,24.8
"Wright, MN",65.7,8.1,21.1
"Yellow Medicine, MN",61.0,7.5,21.0
"Adams, MS",47.6,7.0,16.9
"Alcorn, MS",29.4,3.7,9.8
"Amite, MS",33.6,5.4,10.9
"Attala, MS",34.2,4.5,10.6
"Benton, MS",25.4,3.4,8.9
"Bolivar, MS",42.8,6.2,13.7
"Calhoun, MS",27.5,3.7,9.4
"Carroll, MS",37.9,5.5,11.6
"Chickasaw, MS",30.3,3.7,9.7
"Choctaw, MS",31.6,4.5,9.9
"Claiborne, MS",44.4,7.5,15.0
"Clarke, MS",30.7,4.2,10.0
"Clay, MS",38.0,4.2,11.4
"Coahoma, MS",44.4,6.2,14.7
"Copiah, MS",37.6,5.5,11.3
"Covington, MS",32.5,4.9,10.0
"DeSoto, MS",48.4,5.8,14.2
"Forrest, MS",45.7,7.1,15.2
"Franklin, MS",33.9,5.2,11.1
"George, MS",31.2,4.9,10.5
"Greene, MS",30.4,5.5,11.1
"Grenada, MS",40.6,5.8,13.0
"Hancock, MS",54.1,9.8,18.3
"Harrison, MS",55.1,9.5,18.4
"Hinds, MS",50.3,6.8,14.9
"Holmes, MS",36.5,5.7,13.1
"Humphreys, MS",39.0,5.7,12.5
"Issaquena, MS",32.9,5.6,10.8
"Itawamba, MS",31.3,4.6,10.7
"Jackson, MS",50.3,8.5,17.5
"Jasper, MS",34.5,5.1,11.2
"Jefferson, MS",37.6,6.8,12.7
"Jefferson Davis, MS",35.2,5.5,11.8
"Jones, MS",33.7,5.0,11.4
"Kemper, MS",37.4,6.9,12.9
"Lafayette, MS",49.8,8.3,16.3
"Lamar, MS",43.9,5.9,12.4
"Lauderdale, MS",40.9,5.6,12.3
"Lawrence, MS",32.2,4.3,10.4
"Leake, MS",32.7,4.7,10.5
"Lee, MS",39.7,5.4,11.9
"Leflore, MS",41.7,6.6,14.1
"Lincoln, MS",34.5,4.6,10.5
"Lowndes, MS",41.3,5.0,12.4
"Madison, MS",54.5,7.6,14.5
"Marion, MS",33.2,4.8,10.9
"Marshall, MS",37.3,5.8,12.6
"Monroe, MS",34.6,4.8,11.4
"Montgomery, MS",36.9,4.8,11.7
"Neshoba, MS",35.0,5.3,10.7
"Newton, MS",31.8,4.1,9.6
"Noxubee, MS",34.6,5.5,13.2
"Oktibbeha, MS",44.8,6.4,14.0
"Panola, MS",39.2,6.3,13.8
"Pearl River, MS",39.9,5.3,11.9
"Perry, MS",32.3,5.3,11.5
"Pike, MS",39.2,5.8,13.0
"Pontotoc, MS",31.0,4.3,10.3
"Prentiss, MS",27.8,4.0,9.7
"Quitman, MS",36.4,6.3,12.9
"Rankin, MS",46.3,5.7,12.5
"Scott, MS",33.9,4.8,11.2
"Sharkey, MS",37.1,5.9,12.0
"Simpson, MS",30.6,4.0,9.5
"Smith, MS",31.3,5.2,11.1
"Stone, MS",37.4,6.1,11.8
"Sunflower, MS",41.5,6.2,13.9
"Tallahatchie, MS",36.4,5.7,13.1
"Tate, MS",37.1,4.8,11.3
"Tippah, MS",27.2,3.7,9.5
"Tishomingo, MS",29.1,4.1,10.0
"Tunica, MS",40.3,5.5,13.8
"Union, MS",30.7,4.0,10.0
"Walthall, MS",33.2,5.1,10.9
"Warren, MS",47.7,6.4,13.4
"Washington, MS",45.6,5.7,13.4
"Wayne, MS",30.7,4.8,10.5
"Webster, MS",31.7,4.1,10.5
"Wilkinson, MS",38.5,6.7,13.3
"Winston, MS",34.1,4.6,10.9
"Yalobusha, MS",31.8,3.8,10.6
"Yazoo, MS",40.1,5.3,12.4
"Adair, MO",47.4,7.7,18.1
"Andrew, MO",53.8,7.4,18.3
"Atchison, MO",53.9,7.8,20.2
"Audrain, MO",49.9,7.4,17.5
"Barry, MO",44.3,6.4,14.4
"Barton, MO",43.1,5.8,14.7
"Bates, MO",44.2,6.0,15.6
"Benton, MO",48.2,7.2,17.6
"Bollinger, MO",44.8,7.8,18.3
"Boone, MO",60.4,7.9,18.7
"Buchanan, MO",52.3,7.4,18.4
"Butler, MO",45.3,7.6,17.5
"Caldwell, MO",46.6,7.0,17.3
"Callaway, MO",55.1,7.9,19.1
"Camden, MO",53.5,8.0,18.6
"Cape Girardeau, MO",55.6,7.1,17.5
"Carroll, MO",48.5,6.0,16.0
"Carter, MO",40.5,7.6,16.5
"Cass, MO",54.7,6.7,17.5
"Cedar, MO",43.4,7.0,15.4
"Chariton, MO",52.8,8.3,20.1
"Christian, MO",51.8,5.9,14.1
"Clark, MO",47.4,7.4,18.3
"Clay, MO",58.4,7.2,18.7
"Clinton, MO",50.5,7.4,18.0
"Cole, MO",61.3,8.4,19.4
"Cooper, MO",53.6,7.7,18.4
"Crawford, MO",46.9,7.7,19.0
"Dade, MO",35.5,6.4,12.6
"Dallas, MO",43.0,6.8,15.6
"Daviess, MO",44.7,6.9,16.3
"DeKalb, MO",46.9,7.3,16.4
"Dent, MO",43.5,6.4,15.8
"Douglas, MO",39.7,7.6,15.8
"Dunklin, MO",39.0,6.4,14.7
"Franklin, MO",57.6,9.0,21.8
"Gasconade, MO",52.1,8.0,20.3
"Gentry, MO",46.2,7.3,17.2
"Greene, MO",52.0,6.2,15.4
"Grundy, MO",47.6,6.4,16.0
"Harrison, MO",48.0,7.2,17.7
"Henry, MO",48.9,6.7,16.7
"Hickory, MO",42.2,7.0,16.5
"Holt, MO",50.2,7.0,18.3
"Howard, MO",52.0,7.6,18.7
"Howell, MO",42.6,7.1,14.9
"Iron, MO",44.3,7.1,17.0
"Jackson, MO",56.5,7.3,16.9
"Jasper, MO",46.5,5.9,14.2
"Jefferson, MO",57.5,8.8,22.2
"Johnson, MO",55.1,7.5,18.5
"Knox, MO",47.3,7.8,18.1
"Laclede, MO",44.3,6.0,14.8
"Lafayette, MO",49.8,6.8,17.2
"Lawrence, MO",44.4,6.1,14.2
"Lewis, MO",47.5,7.5,16.9
"Lincoln, MO",52.4,8.8,20.2
"Linn, MO",50.0,7.5,19.4
"Livingston, MO",49.9,6.5,16.6
"Macon, MO",48.2,6.5,16.0
"Madison, MO",44.9,7.0,16.7
"Maries, MO",47.8,7.8,18.0
"Marion, MO",51.7,7.1,17.4
"McDonald, MO",40.7,6.9,14.4
"Mercer, MO",47.4,6.8,16.1
"Miller, MO",49.4,7.8,18.2
"Mississippi, MO",40.1,6.4,13.4
"Moniteau, MO",51.3,7.0,16.6
"Monroe, MO",49.8,7.6,18.7
"Montgomery, MO",50.1,7.8,19.6
"Morgan, MO",47.7,7.2,17.5
"New Madrid, MO",42.1,6.6,14.8
"Newton, MO",44.9,6.2,14.5
"Nodaway, MO",53.2,8.5,19.5
"Oregon, MO",41.2,7.2,15.3
"Osage, MO",56.0,10.2,22.9
"Ozark, MO",41.4,7.5,15.9
"Pemiscot, MO",37.8,6.4,13.3
"Perry, MO",57.6,9.3,21.9
"Pettis, MO",50.2,6.8,16.8
"Phelps, MO",51.8,7.3,17.8
"Pike, MO",51.8,7.2,16.3
"Platte, MO",60.5,7.6,19.4
"Polk, MO",44.5,6.6,15.6
"Pulaski, MO",47.8,7.0,15.6
"Putnam, MO",46.7,7.5,16.5
"Ralls, MO",52.6,8.1,19.1
"Randolph, MO",48.8,7.4,17.5
"Ray, MO",51.3,7.1,18.0
"Reynolds, MO",39.9,7.0,16.1
"Ripley, MO",40.2,7.9,17.0
"Saline, MO",49.6,6.8,17.1
"Schuyler, MO",45.1,7.5,17.4
"Scotland, MO",45.9,7.3,17.1
"Scott, MO",46.4,7.3,16.7
"Shannon, MO",38.2,7.5,15.7
"Shelby, MO",48.7,7.4,17.4
"St. Charles, MO",66.2,9.1,21.9
"St. Clair, MO",42.6,6.3,14.9
"St. Francois, MO",46.1,7.0,17.3
"St. Lou, MO",62.7,10.6,22.7
"St. Louis, MO",66.8,9.7,22.1
"Ste. Genevieve, MO",54.6,9.2,21.5
"Stoddard, MO",43.9,7.1,17.4
"Stone, MO",47.0,7.4,16.7
"Sullivan, MO",43.1,7.0,16.9
"Taney, MO",46.8,6.8,15.3
"Texas, MO",38.5,6.3,13.4
"Vernon, MO",43.8,6.5,15.3
"Warren, MO",53.3,8.3,19.9
"Washington, MO",41.2,8.2,18.9
"Wayne, MO",40.7,7.7,17.2
"Webster, MO",43.3,6.2,13.6
"Worth, MO",47.7,6.6,15.7
"Wright, MO",38.6,6.2,13.8
"Beaverhead, MT",62.2,10.8,22.1
"Big Horn, MT",46.6,6.7,18.8
"Blaine, MT",53.9,8.2,22.7
"Broadwater, MT",60.1,11.3,21.7
"Carbon, MT",68.7,13.7,26.4
"Carter, MT",56.6,9.0,19.4
"Cascade, MT",62.6,10.1,20.5
"Chouteau, MT",60.3,9.0,24.6
"Custer, MT",59.3,7.8,19.3
"Daniels, MT",49.3,7.9,19.0
"Dawson, MT",57.8,8.5,19.8
"Deer Lodge, MT",61.9,13.1,26.7
"Fallon, MT",61.2,6.9,21.4
"Fergus, MT",62.9,9.3,21.0
"Flathead, MT",64.8,10.1,19.9
"Gallatin, MT",69.8,10.2,20.9
"Garfield, MT",60.1,11.9,25.1
"Glacier, MT",52.3,7.9,22.2
"Golden Valley, MT",62.5,13.7,25.9
"Granite, MT",65.2,14.3,24.4
"Hill, MT",58.8,8.3,22.2
"Jefferson, MT",67.9,12.4,22.0
"Judith Basin, MT",67.6,13.5,27.6
"Lake, MT",60.0,8.9,20.7
"Lewis and Clark, MT",65.7,9.2,19.9
"Liberty, MT",57.3,12.0,26.1
"Lincoln, MT",61.6,10.3,20.6
"Madison, MT",69.4,14.8,27.2
"McCone, MT",62.9,6.3,18.8
"Meagher, MT",63.1,14.5,27.2
"Mineral, MT",61.1,14.5,26.7
"Missoula, MT",65.9,9.7,20.9
"Musselshell, MT",58.6,10.1,20.6
"Park, MT",68.7,13.9,24.2
"Petroleum, MT",65.0,15.4,27.2
"Phillips, MT",62.6,11.0,27.8
"Pondera, MT",54.6,7.3,18.3
"Powder River, MT",62.5,10.1,21.3
"Powell, MT",63.7,13.1,24.3
"Prairie, MT",61.6,10.7,24.0
"Ravalli, MT",63.0,9.2,18.3
"Richland, MT",59.4,7.9,21.1
"Roosevelt, MT",49.1,6.6,21.6
"Rosebud, MT",50.1,8.7,19.7
"Sanders, MT",62.3,11.2,20.9
"Sheridan, MT",53.9,6.1,20.5
"Silver Bow, MT",63.6,11.2,23.9
"Stillwater, MT",66.3,12.2,22.8
"Sweet Grass, MT",64.6,8.5,18.8
"Teton, MT",58.9,8.2,21.3
"Toole, MT",66.1,11.7,28.5
"Treasure, MT",61.5,11.6,23.7
"Valley, MT",62.3,10.0,25.2
"Wheatland, MT",59.0,9.4,22.6
"Wibaux, MT",58.9,8.3,22.0
"Yellowstone, MT",62.4,8.8,19.8
"Adams, NE",60.0,8.1,20.9
"Antelope, NE",58.9,8.9,21.8
"Arthur, NE",55.9,7.0,21.3
"Banner, NE",54.1,7.0,16.9
"Blaine, NE",49.6,6.0,16.2
"Boone, NE",63.0,9.9,25.2
"Box Butte, NE",58.6,7.6,20.1
"Boyd, NE",58.2,8.6,20.9
"Brown, NE",58.8,8.8,22.0
"Buffalo, NE",62.2,8.1,21.7
"Burt, NE",60.3,8.7,22.6
"Butler, NE",67.4,11.8,28.6
"Cass, NE",63.4,9.7,23.2
"Cedar, NE",63.8,10.7,25.9
"Chase, NE",52.8,7.5,18.0
"Cherry, NE",58.8,8.2,19.7
"Cheyenne, NE",61.2,8.0,21.8
"Clay, NE",55.0,7.7,20.5
"Colfax, NE",60.5,8.5,22.4
"Cuming, NE",64.3,9.0,23.1
"Custer, NE",57.8,7.6,19.9
"Dakota, NE",53.0,7.7,22.0
"Dawes, NE",59.4,8.5,20.3
"Dawson, NE",52.6,6.6,18.5
"Deuel, NE",53.0,6.7,18.3
"Dixon, NE",57.1,8.3,22.6
"Dodge, NE",63.2,8.0,22.6
"Douglas, NE",65.4,9.1,22.5
"Dundy, NE",55.8,8.4,20.4
"Fillmore, NE",63.0,9.7,25.5
"Franklin, NE",56.6,7.8,22.0
"Frontier, NE",53.7,7.4,19.8
"Furnas, NE",54.9,7.6,20.8
"Gage, NE",62.1,7.9,22.3
"Garden, NE",54.2,7.3,19.0
"Garfield, NE",61.3,10.2,25.0
"Gosper, NE",53.8,6.9,17.7
"Grant, NE",52.1,7.4,18.4
"Greeley, NE",64.3,12.4,29.0
"Hall, NE",57.8,7.6,20.5
"Hamilton, NE",60.8,7.9,21.9
"Harlan, NE",55.2,8.2,20.0
"Hayes, NE",53.7,9.4,22.1
"Hitchcock, NE",51.1,7.5,18.5
"Holt, NE",61.7,9.5,23.3
"Hooker, NE",56.3,7.5,18.5
"Howard, NE",58.9,9.2,22.4
"Jefferson, NE",60.9,8.3,22.9
"Johnson, NE",54.8,8.5,18.5
"Kearney, NE",61.1,7.9,21.6
"Keith, NE",59.5,8.0,20.7
"Keya Paha, NE",48.5,6.2,14.7
"Kimball, NE",53.5,7.1,18.7
"Knox, NE",62.1,10.5,25.7
"Lancaster, NE",66.1,8.8,22.2
"Lincoln, NE",57.8,7.9,20.8
"Logan, NE",61.8,10.4,23.1
"Loup, NE",51.6,8.1,19.7
"Madison, NE",62.9,8.7,23.6
"McPherson, NE",53.2,7.4,17.8
"Merrick, NE",59.9,7.8,22.0
"Morrill, NE",51.6,7.0,17.6
"Nance, NE",63.7,11.9,29.3
"Nemaha, NE",61.9,8.6,22.2
"Nuckolls, NE",58.5,9.4,23.1
"Otoe, NE",61.0,9.2,23.4
"Pawnee, NE",62.1,11.2,26.8
"Perkins, NE",55.2,7.2,18.7
"Phelps, NE",57.2,6.9,18.7
"Pierce, NE",59.7,8.2,21.3
"Platte, NE",67.6,9.3,26.4
"Polk, NE",61.6,9.3,24.3
"Red Willow, NE",58.3,8.0,20.3
"Richardson, NE",57.1,8.6,20.9
"Rock, NE",55.9,8.1,20.7
"Saline, NE",59.6,9.7,23.2
"Sarpy, NE",65.7,8.8,20.7
"Saunders, NE",66.3,10.2,25.3
"Scotts Bluff, NE",52.8,5.9,16.4
"Seward, NE",63.7,7.9,20.9
"Sheridan, NE",55.6,9.2,21.1
"Sherman, NE",56.9,9.3,22.0
"Sioux, NE",58.5,8.8,21.4
"Stanton, NE",60.3,8.7,22.0
"Thayer, NE",56.9,7.5,20.3
"Thomas, NE",53.8,6.9,17.8
"Thurston, NE",37.8,11.3,20.5
"Valley, NE",61.0,9.8,24.4
"Washington, NE",67.1,10.3,23.8
"Wayne, NE",63.3,8.6,23.3
"Webster, NE",53.5,7.8,19.9
"Wheeler, NE",57.7,8.5,20.2
"York, NE",58.9,6.7,19.9
"Cars, NV",66.4,10.8,22.0
"Churchill, NV",57.7,9.7,20.0
"Clark, NV",58.1,9.0,18.9
"Douglas, NV",71.0,12.4,21.3
"Elko, NV",56.4,10.2,20.4
"Esmeralda, NV",64.7,18.3,29.8
"Eureka, NV",57.7,9.6,18.1
"Humboldt, NV",59.9,10.4,20.9
"Lander, NV",51.9,9.5,19.6
"Lincoln, NV",39.5,7.8,15.9
"Lyon, NV",63.5,11.6,21.0
"Mineral, NV",55.2,9.7,20.5
"Nye, NV",58.3,11.4,21.2
"Pershing, NV",58.6,10.3,20.3
"Storey, NV",72.7,17.2,26.3
"Washoe, NV",66.4,11.3,21.4
"White Pine, NV",49.2,8.5,18.8
"Belknap, NH",66.0,9.9,18.7
"Carroll, NH",68.3,11.1,18.9
"Cheshire, NH",65.7,10.2,18.3
"Coos, NH",64.1,10.2,20.1
"Grafton, NH",68.4,10.6,18.1
"Hillsborough, NH",67.7,8.6,17.4
"Merrimack, NH",68.1,9.5,17.3
"Rockingham, NH",70.9,10.0,20.5
"Strafford, NH",64.9,9.2,18.3
"Sullivan, NH",65.4,9.0,17.3
"Atlantic, NJ",58.5,7.7,17.3
"Bergen, NJ",66.1,7.0,17.0
"Burlington, NJ",62.2,7.2,16.7
"Camden, NJ",59.0,7.3,17.0
"Cape May, NJ",65.4,9.6,20.1
"Cumberland, NJ",48.9,6.5,14.8
"Essex, NJ",55.8,6.8,15.5
"Gloucester, NJ",61.2,7.1,17.2
"Hudson, NJ",54.0,6.5,17.8
"Hunterdon, NJ",70.0,8.7,18.4
"Mercer, NJ",61.0,6.9,16.1
"Middlesex, NJ",58.5,5.9,15.3
"Monmouth, NJ",67.3,8.7,19.7
"Morris, NJ",67.9,7.6,18.0
"Ocean, NJ",64.4,7.8,18.0
"Passaic, NJ",56.4,6.8,17.1
"Salem, NJ",55.3,7.7,16.9
"Somerset, NJ",65.1,6.3,15.1
"Sussex, NJ",66.7,8.4,18.4
"Union, NJ",58.3,6.1,16.1
"Warren, NJ",61.9,7.7,17.7
"Bernalillo, NM",57.3,6.7,14.7
"Catron, NM",49.8,9.0,16.5
"Chaves, NM",46.7,6.8,15.1
"Cibola, NM",41.0,6.7,16.3
"Colfax, NM",53.5,6.8,15.9
"Curry, NM",44.0,5.5,13.2
"De Baca, NM",40.0,4.2,11.1
"Dona Ana, NM",52.5,7.1,17.7
"Eddy, NM",45.1,5.9,14.1
"Grant, NM",54.5,9.0,18.8
"Guadalupe, NM",47.7,6.6,17.2
"Harding, NM",47.9,5.3,13.2
"Hidalgo, NM",46.9,7.6,17.6
"Lea, NM",42.2,5.7,15.1
"Lincoln, NM",56.8,8.4,16.2
"Los Alamos, NM",64.2,4.8,11.1
"Luna, NM",46.2,7.8,17.1
"McKinley, NM",35.1,6.1,15.4
"Mora, NM",49.4,7.7,15.5
"Otero, NM",49.2,7.0,14.8
"Quay, NM",38.1,4.8,12.1
"Rio Arriba, NM",49.9,6.9,15.9
"Roosevelt, NM",40.5,5.5,13.5
"San Juan, NM",42.6,6.1,12.9
"San Miguel, NM",50.6,6.7,15.8
"Sandoval, NM",58.6,7.3,14.7
"Santa Fe, NM",64.0,7.9,15.4
"Sierra, NM",52.3,8.8,16.3
"Socorro, NM",46.4,7.2,16.7
"Taos, NM",59.1,8.1,17.5
"Torrance, NM",49.0,7.3,15.7
"Union, NM",54.2,6.2,16.3
"Valencia, NM",49.6,7.1,14.8
"Albany, NY",65.7,8.9,19.0
"Allegany, NY",56.4,8.2,17.9
"Bronx, NY",45.2,4.6,14.2
"Broome, NY",62.2,8.6,20.0
"Cattaraugus, NY",59.0,9.1,19.5
"Cayuga, NY",61.1,8.3,19.3
"Chautauqua, NY",57.9,8.4,19.4
"Chemung, NY",58.8,8.0,18.7
"Chenango, NY",59.8,8.8,18.9
"Clinton, NY",63.7,9.4,19.9
"Columbia, NY",64.2,9.6,19.2
"Cortland, NY",61.5,9.8,20.7
"Delaware, NY",59.4,8.8,17.9
"Dutchess, NY",65.4,7.9,17.8
"Erie, NY",65.4,8.1,20.4
"Essex, NY",65.6,10.1,18.8
"Franklin, NY",61.0,8.9,19.6
"Fulton, NY",61.2,8.9,18.7
"Genesee, NY",62.2,8.0,18.9
"Greene, NY",60.4,9.0,18.3
"Hamilton, NY",59.8,8.7,18.9
"Herkimer, NY",62.9,9.7,21.1
"Jefferson, NY",60.5,8.3,18.1
"Kings, NY",51.8,5.6,14.4
"Lewis, NY",55.1,8.1,18.5
"Livingston, NY",63.2,8.8,19.5
"Madison, NY",62.5,8.5,18.6
"Monroe, NY",64.8,7.4,17.1
"Montgomery, NY",59.8,7.5,18.9
"Nassau, NY",65.9,6.8,17.6
"New York, NY",64.2,9.6,20.7
"Niagara, NY",61.6,8.0,18.7
"Oneida, NY",60.8,8.3,19.0
"Onondaga, NY",64.0,8.2,19.3
"Ontario, NY",64.5,8.3,19.0
"Orange, NY",61.9,7.0,17.1
"Orleans, NY",57.2,6.9,16.9
"Oswego, NY",59.2,9.2,20.4
"Otsego, NY",61.9,9.8,20.5
"Putnam, NY",68.4,8.5,19.4
"Queens, NY",53.1,5.4,14.2
"Rensselaer, NY",65.1,8.3,18.8
"Richmond, NY",61.3,6.4,17.2
"Rockland, NY",62.7,6.4,15.9
"Saratoga, NY",67.3,9.1,19.0
"Schenectady, NY",64.1,7.8,17.9
"Schoharie, NY",61.1,8.9,18.6
"Schuyler, NY",59.9,8.8,19.8
"Seneca, NY",60.5,8.5,17.5
"St. Lawrence, NY",60.8,9.2,19.8
"Steuben, NY",58.1,7.9,17.7
"Suffolk, NY",66.1,7.4,18.6
"Sullivan, NY",59.5,8.6,18.2
"Tioga, NY",60.4,8.0,17.5
"Tompkins, NY",66.3,9.8,19.0
"Ulster, NY",64.0,8.7,19.0
"Warren, NY",66.5,10.8,20.4
"Washington, NY",61.0,8.3,17.8
"Wayne, NY",60.9,8.1,18.1
"Westchester, NY",65.1,6.5,16.7
"Wyoming, NY",60.7,8.1,18.9
"Yates, NY",62.5,10.8,20.3
"Alamance, NC",48.5,5.5,13.7
"Alexander, NC",36.9,5.0,11.8
"Alleghany, NC",37.0,4.9,12.5
"Anson, NC",33.1,4.2,10.7
"Ashe, NC",38.0,4.7,11.1
"Avery, NC",41.6,6.0,12.3
"Beaufort, NC",42.0,6.0,13.6
"Bertie, NC",33.2,4.1,10.5
"Bladen, NC",31.7,4.3,10.8
"Brunswick, NC",57.0,8.0,17.6
"Buncombe, NC",52.5,7.0,13.9
"Burke, NC",38.3,5.0,11.8
"Cabarrus, NC",48.8,5.9,15.1
"Caldwell, NC",37.6,5.2,12.1
"Camden, NC",50.9,7.6,16.9
"Carteret, NC",55.4,8.7,18.4
"Caswell, NC",40.9,5.1,12.7
"Catawba, NC",46.4,6.2,13.6
"Chatham, NC",52.3,6.1,14.1
"Cherokee, NC",43.0,5.5,12.2
"Chowan, NC",41.7,5.0,12.9
"Clay, NC",38.9,5.5,11.3
"Cleveland, NC",38.1,4.9,12.0
"Columbus, NC",34.7,4.7,11.4
"Craven, NC",49.3,6.2,14.5
"Cumberland, NC",43.5,5.1,12.5
"Currituck, NC",51.7,8.2,17.7
"Dare, NC",61.2,9.5,20.6
"Davidson, NC",41.9,5.4,13.9
"Davie, NC",46.2,5.8,13.4
"Duplin, NC",34.9,4.6,12.1
"Durham, NC",56.0,6.2,14.1
"Edgecombe, NC",35.4,4.2,11.2
"Forsyth, NC",51.5,5.6,13.6
"Franklin, NC",40.4,4.5,11.7
"Gaston, NC",42.9,5.5,13.7
"Gates, NC",40.6,5.8,13.2
"Graham, NC",38.7,4.8,11.5
"Granville, NC",41.2,4.4,11.7
"Greene, NC",35.0,4.8,11.9
"Guilford, NC",52.7,6.0,14.3
"Halifax, NC",37.4,4.5,11.5
"Harnett, NC",42.1,4.8,12.3
"Haywood, NC",46.4,6.2,12.6
"Henderson, NC",50.3,6.1,13.4
"Hertford, NC",37.6,4.7,11.7
"Hoke, NC",40.5,4.4,12.1
"Hyde, NC",47.7,8.9,17.8
"Iredell, NC",48.9,6.4,14.8
"Jackson, NC",46.2,6.2,12.9
"Johnston, NC",42.8,4.8,13.1
"Jones, NC",43.6,7.1,15.8
"Lee, NC",44.0,5.1,12.5
"Lenoir, NC",37.6,4.9,11.9
"Lincoln, NC",44.7,5.9,13.8
"Macon, NC",47.7,6.0,13.1
"Madison, NC",36.8,4.8,10.2
"Martin, NC",35.7,4.8,11.6
"McDowell, NC",37.5,5.1,11.6
"Mecklenburg, NC",58.9,7.4,16.9
"Mitchell, NC",34.3,4.6,10.0
"Montgomery, NC",36.8,4.7,12.2
"Moore, NC",52.8,6.5,14.4
"Nash, NC",43.6,5.2,12.8
"New Hanover, NC",60.7,9.5,18.7
"Northampton, NC",38.6,5.3,12.5
"Onslow, NC",48.2,6.0,14.9
"Orange, NC",63.1,7.9,16.6
"Pamlico, NC",46.2,6.8,14.6
"Pasquotank, NC",43.9,5.3,13.4
"Pender, NC",48.0,6.5,15.4
"Perquimans, NC",44.3,5.8,13.3
"Person, NC",44.4,5.1,12.6
"Pitt, NC",47.2,6.1,14.2
"Polk, NC",46.8,6.5,13.3
"Randolph, NC",39.6,5.3,13.2
"Richmond, NC",35.8,4.7,12.0
"Robeson, NC",31.1,4.2,10.9
"Rockingham, NC",39.4,4.7,12.1
"Rowan, NC",42.7,5.4,13.1
"Rutherford, NC",36.6,5.0,11.1
"Sampson, NC",33.0,4.3,11.0
"Scotland, NC",37.0,4.7,11.9
"Stanly, NC",39.8,5.4,12.7
"Stokes, NC",39.4,5.1,12.6
"Surry, NC",34.6,4.2,11.0
"Swain, NC",41.6,5.4,12.5
