county_state,alc_any_2008,alc_heavy_2008,alc_binge_2008
"Prowers, CO",53.6,7.0,16.4
"Pueblo, CO",57.5,7.3,17.0
"Rio Blanco, CO",62.0,10.3,20.0
"Rio Grande, CO",56.6,8.3,18.6
"Routt, CO",78.4,13.4,22.8
"Saguache, CO",51.9,7.6,16.4
"San Juan, CO",67.8,15.0,27.9
"San Miguel, CO",75.8,16.3,25.1
"Sedgwick, CO",52.9,6.8,15.4
"Summit, CO",79.8,15.6,25.2
"Teller, CO",67.6,10.2,18.3
"Washington, CO",62.5,7.6,16.8
"Yuma, CO",60.3,7.4,17.8
"Conn, CT",66.0,8.1,17.7
"Fairfield, CT",67.8,8.5,18.1
"Hartford, CT",64.8,7.2,16.9
"Litchfield, CT",68.9,9.9,19.5
"Middlesex, CT",69.7,9.7,19.2
"New Haven, CT",63.7,7.5,16.8
"New London, CT",66.7,9.2,18.3
"Tolland, CT",69.5,9.3,19.0
"Windham, CT",61.1,8.2,17.7
"D, DE",59.5,8.3,19.0
"Kent, DE",53.4,6.8,16.3
"New Castle, DE",61.9,8.7,19.8
"Sussex, DE",57.3,8.3,18.6
"Alachua, FL",58.0,9.6,17.2
"Baker, FL",39.2,6.4,14.1
"Bay, FL",52.5,9.4,18.4
"Bradford, FL",38.9,7.1,14.2
"Brevard, FL",58.8,10.8,19.9
"Broward, FL",56.0,7.2,15.8
"Calhoun, FL",38.5,6.8,14.0
"Charlotte, FL",61.3,10.8,19.6
"Citrus, FL",56.2,9.2,18.0
"Clay, FL",54.9,8.6,17.0
"Collier, FL",63.1,9.4,17.9
"Columbia, FL",43.7,7.1,14.7
"DeSoto, FL",42.9,7.4,14.9
"Dixie, FL",40.1,7.4,14.7
"Duval, FL",52.5,8.2,16.8
"Escambia, FL",49.6,8.9,15.8
"Flagler, FL",61.1,9.3,19.2
"Franklin, FL",55.5,15.2,22.1
"Gadsden, FL",40.4,6.5,13.0
"Gilchrist, FL",39.5,6.6,13.8
"Glades, FL",42.0,6.6,13.4
"Gulf, FL",44.5,9.1,16.8
"Hamilton, FL",36.8,6.6,13.2
"Hardee, FL",34.8,5.1,11.7
"Hendry, FL",40.5,5.9,14.3
"Hernando, FL",56.1,9.5,18.0
"Highlands, FL",49.6,7.8,15.3
"Hillsborough, FL",53.9,8.4,17.3
"Holmes, FL",36.9,7.1,14.2
"Indian River, FL",62.6,10.8,18.6
"Jackson, FL",38.7,6.4,13.0
"Jefferson, FL",43.3,8.1,14.4
"Lafayette, FL",36.5,6.1,12.2
"Lake, FL",56.5,8.4,16.4
"Lee, FL",60.8,9.6,18.1
"Leon, FL",57.4,9.1,17.2
"Levy, FL",43.0,7.2,14.3
"Liberty, FL",32.0,5.4,12.1
"Madison, FL",37.4,5.9,12.2
"Manatee, FL",58.9,9.5,18.5
"Marion, FL",53.9,7.7,16.3
"Martin, FL",64.7,10.5,18.9
"Miami-Dade, FL",50.6,5.8,15.0
"Monroe, FL",66.4,14.9,24.4
"Nassau, FL",52.4,8.5,16.1
"Okaloosa, FL",56.6,10.0,17.9
"Okeechobee, FL",44.5,7.4,15.1
"Orange, FL",54.4,8.2,16.6
"Osceola, FL",48.3,6.6,14.9
"Palm Beach, FL",59.3,8.2,16.6
"Pasco, FL",56.3,10.2,18.5
"Pinellas, FL",61.5,12.6,20.0
"Polk, FL",49.6,7.8,15.6
"Putnam, FL",42.1,7.1,15.1
"Santa Rosa, FL",54.6,9.0,16.1
"Sarasota, FL",65.2,11.6,19.8
"Seminole, FL",58.2,9.3,18.5
"St. Johns, FL",67.1,12.1,20.9
"St. Lucie, FL",55.5,8.8,17.1
"Sumter, FL",57.6,8.7,16.8
"Suwannee, FL",38.6,6.0,12.5
"Taylor, FL",39.7,6.7,13.1
"Union, FL",37.3,6.7,14.0
"Volusia, FL",57.0,9.6,19.0
"Wakulla, FL",50.3,8.8,17.0
"Walton, FL",53.5,10.1,17.5
"Washington, FL",35.2,5.7,11.9
"Appling, GA",29.7,4.8,11.2
"Atkinson, GA",29.9,4.9,12.1
"Bacon, GA",29.4,4.6,10.9
"Baker, GA",38.3,7.0,13.4
"Baldwin, GA",44.4,6.4,14.2
"Banks, GA",33.1,4.5,10.2
"Barrow, GA",46.5,5.8,14.2
"Bartow, GA",41.7,5.6,13.8
"Ben Hill, GA",33.2,5.2,11.7
"Berrien, GA",39.8,6.8,15.0
"Bibb, GA",44.5,6.0,13.6
"Bleckley, GA",32.8,4.7,11.4
"Brantley, GA",32.8,5.6,12.2
"Brooks, GA",39.1,5.7,12.0
"Bryan, GA",52.1,7.7,16.7
"Bulloch, GA",45.3,6.5,14.6
"Burke, GA",34.0,4.5,11.5
"Butts, GA",37.3,4.7,11.7
"Calhoun, GA",30.3,5.0,10.6
"Camden, GA",49.4,7.0,14.9
"Candler, GA",39.2,6.5,14.8
"Carroll, GA",41.8,5.9,13.4
"Catoosa, GA",38.9,5.8,14.1
"Charlton, GA",37.6,6.5,13.7
"Chatham, GA",55.0,8.9,17.7
"Chattahoochee, GA",44.3,5.0,13.3
"Chattooga, GA",31.8,4.6,11.8
"Cherokee, GA",54.7,6.5,15.2
"Clarke, GA",53.2,8.9,16.3
"Clay, GA",32.2,5.5,11.2
"Clayton, GA",43.7,4.6,11.8
"Clinch, GA",35.9,5.6,12.2
"Cobb, GA",59.6,6.8,15.8
"Coffee, GA",33.1,5.2,12.3
"Colquitt, GA",34.9,5.5,12.2
"Columbia, GA",55.8,6.9,15.8
"Cook, GA",35.8,5.4,12.1
"Coweta, GA",48.3,5.7,13.8
"Crawford, GA",41.2,6.0,13.7
"Crisp, GA",38.4,6.0,13.5
"Dade, GA",38.6,5.8,13.3
"Dawson, GA",44.4,6.1,13.7
"Decatur, GA",38.0,5.9,12.7
"DeKalb, GA",57.2,6.4,15.7
"Dodge, GA",29.8,4.6,10.2
"Dooly, GA",32.8,5.1,11.4
"Dougherty, GA",44.2,6.6,13.5
"Douglas, GA",46.4,5.7,13.3
"Early, GA",38.1,6.7,13.2
"Echols, GA",34.6,5.7,11.9
"Effingham, GA",44.5,6.4,14.9
"Elbert, GA",37.7,5.1,12.2
"Emanuel, GA",35.6,5.4,12.7
"Evans, GA",38.9,6.2,14.1
"Fannin, GA",35.8,4.7,10.7
"Fayette, GA",57.1,6.4,14.5
"Floyd, GA",38.7,5.3,12.7
"Forsyth, GA",59.0,7.1,16.1
"Franklin, GA",35.6,5.7,12.1
"Fulton, GA",60.5,8.6,17.3
"Gilmer, GA",40.6,5.7,13.1
"Glascock, GA",33.8,4.4,10.8
"Glynn, GA",53.8,8.9,17.7
"Gordon, GA",37.5,4.7,12.4
"Grady, GA",36.6,5.8,12.2
"Greene, GA",45.9,6.9,14.3
"Gwinnett, GA",54.5,5.8,14.0
"Habersham, GA",38.9,4.8,11.4
"Hall, GA",45.3,5.4,13.1
"Hancock, GA",33.0,4.6,11.5
"Haralson, GA",34.0,5.2,12.3
"Harris, GA",46.7,6.5,14.0
"Hart, GA",37.7,4.9,11.6
"Heard, GA",34.4,5.2,12.2
"Henry, GA",47.0,5.3,13.2
"Houston, GA",48.2,6.9,15.3
"Irwin, GA",33.8,5.3,11.9
"Jackson, GA",44.1,5.2,12.7
"Jasper, GA",41.6,6.2,14.0
"Jeff Davis, GA",28.8,3.9,10.3
"Jefferson, GA",35.0,5.2,12.3
"Jenkins, GA",31.5,4.4,11.7
"Johnson, GA",31.5,5.0,11.7
"Jones, GA",42.2,5.3,12.4
"Lamar, GA",37.6,5.3,12.3
"Lanier, GA",38.4,6.3,13.5
