county_state,cig_total_2012,cig_daily_2012,alc_any_2012,alc_heavy_2012,alc_binge_2012,hd_deaths_per100k_over65
"Clear Creek, CO",18.78,12.51,72.8,16.2,26.1,725.9
"Conejos, CO",18.02,11.32,36.9,6.4,14.2,983.5
"Costilla, CO",20.4,12.67,46.1,7.7,17.6,825.2
"Crowley, CO",25.92,18.3,46.0,6.6,18.0,867.0
"Custer, CO",22.3,15.59,63.9,10.9,20.1,758.6
"Delta, CO",24.03,17.66,61.7,11.0,21.2,1061.6
"Denver, CO",20.39,12.6,63.3,10.5,25.0,848.2
"Dolores, CO",22.05,16.07,67.8,13.8,22.7,728.0
"Douglas, CO",11.92,7.9,70.2,9.3,17.6,617.5
"Eagle, CO",13.7,8.58,72.6,13.5,23.9,470.2
"Elbert, CO",16.73,11.52,63.4,9.4,17.6,812.9
"El Paso, CO",18.02,13.27,58.9,7.6,15.9,870.4
"Fremont, CO",29.09,22.02,56.7,8.8,17.8,941.6
"Garfield, CO",19.09,13.55,65.8,12.5,24.2,881.2
"Gilpin, CO",20.48,14.03,72.3,15.1,23.6,808.2
"Grand, CO",19.89,13.7,72.6,15.5,25.2,559.9
"Gunnison, CO",14.23,8.9,71.8,14.1,26.7,738.1
"Hinsdale, CO",14.74,9.45,74.3,18.2,31.9,825.8
"Huerfano, CO",21.06,13.95,61.5,11.1,23.5,814.4
"Jackson, CO",20.23,14.36,68.8,14.2,27.4,730.5
"Kiowa, CO",19.76,14.09,32.7,3.1,9.2,1126.3
"Kit Carson, CO",23.79,17.45,54.6,6.8,17.4,782.2
"Lake, CO",19.64,12.96,66.5,14.8,25.4,465.7
"La Plata, CO",16.91,10.97,69.4,13.1,24.1,892.2
"Larimer, CO",16.25,10.84,67.0,8.8,19.4,772.9
"Las Animas, CO",22.05,14.76,55.3,8.6,19.5,843.2
"Lincoln, CO",23.7,17.08,53.3,6.2,16.5,844.4
"Logan, CO",25.28,18.54,59.1,8.2,19.0,887.9
"Mesa, CO",21.59,16.27,58.0,9.8,19.4,1076.0
"Mineral, CO",15.62,10.35,51.1,8.3,18.5,737.4
"Moffat, CO",23.03,17.69,61.4,12.3,22.0,908.7
"Montezuma, CO",19.83,13.7,56.1,10.2,19.9,867.1
"Montrose, CO",21.8,16.0,60.1,11.2,20.7,942.2
"Morgan, CO",22.95,16.35,53.3,7.5,17.9,843.0
"Otero, CO",23.87,16.47,51.6,7.4,19.4,1240.4
"Ouray, CO",15.24,9.88,74.9,16.1,25.5,591.4
