county_state,cig_total_2012,cig_daily_2012,alc_any_2012,alc_heavy_2012,alc_binge_2012,hd_deaths_per100k_over65
"Marshall, IA",22.35,17.04,56.8,9.5,24.3,1369.3
"Mills, IA",21.38,16.1,57.8,9.8,21.6,915.5
"Mitchell, IA",22.46,17.19,62.8,10.6,25.3,1543.7
"Monona, IA",25.1,19.39,59.9,10.9,26.6,1419.4
"Monroe, IA",22.72,17.4,59.5,11.3,27.1,1230.2
"Montgomery, IA",25.02,19.17,59.6,10.0,25.1,1384.0
"Muscatine, IA",23.84,18.08,60.2,9.9,24.3,1034.4
"O'Brien, IA",20.12,14.9,62.8,9.0,23.4,1173.4
"Osceola, IA",23.47,17.97,61.2,9.3,24.2,1004.5
"Page, IA",24.82,18.79,55.5,8.6,20.8,1275.4
"Palo Alto, IA",23.0,17.57,61.8,10.3,24.5,1058.3
"Plymouth, IA",21.1,15.67,67.1,11.7,27.5,726.5
"Pocahontas, IA",21.96,16.11,61.0,12.0,27.5,1312.7
"Polk, IA",18.65,14.01,63.0,10.0,24.0,1062.3
"Pottawattamie, IA",23.78,18.45,59.6,11.1,25.0,985.4
"Poweshiek, IA",22.12,16.62,61.9,11.5,26.1,1058.4
"Ringgold, IA",21.46,15.84,54.1,9.1,22.0,1264.8
"Sac, IA",21.26,15.78,60.6,10.8,24.9,1080.3
"Scott, IA",19.95,14.34,68.0,12.4,27.1,1034.1
"Shelby, IA",21.96,16.62,64.6,11.6,26.3,959.4
"Sioux, IA",18.15,13.34,63.4,7.8,20.8,724.0
"Story, IA",13.81,9.43,63.6,9.8,22.4,889.6
"Tama, IA",23.22,17.1,58.1,10.9,25.6,1098.9
"Taylor, IA",22.97,17.08,52.3,9.8,22.0,1321.5
"Union, IA",24.39,18.89,58.7,10.5,24.9,1245.8
"Van Buren, IA",25.29,19.06,52.0,10.7,24.0,1225.3
"Wapello, IA",26.25,20.18,50.0,9.4,22.5,1222.2
"Warren, IA",19.37,14.51,62.4,10.8,24.7,1224.7
"Washington, IA",21.23,15.27,56.8,9.9,22.8,982.9
"Wayne, IA",24.14,18.37,51.9,9.8,22.0,1161.3
"Webster, IA",25.06,17.92,59.2,10.9,26.5,1488.5
"Winnebago, IA",20.63,15.13,61.4,8.8,25.0,1106.7
"Winneshiek, IA",18.11,13.66,71.3,12.5,31.9,1002.8
"Woodbury, IA",25.13,18.84,59.2,9.5,23.1,1041.5
"Worth, IA",22.86,16.92,58.5,9.1,24.7,952.5
"Wright, IA",23.55,17.7,62.3,10.7,28.0,1243.4
"Allen, KS",25.44,19.15,42.4,7.5,17.4,1140.8
"Anderson, KS",25.64,19.73,47.1,7.8,17.6,1101.3
"Atchison, KS",25.35,19.12,53.0,8.1,20.1,1067.1
"Barber, KS",21.48,15.74,51.6,8.0,17.4,1342.6
"Barton, KS",23.59,17.51,48.7,7.8,18.2,1007.3
"Bourbon, KS",24.52,18.04,45.1,7.3,17.3,1149.4
"Brown, KS",26.64,19.82,51.9,9.4,21.8,1335.2
"Butler, KS",21.53,16.26,52.1,6.9,16.5,1174.0
"Chase, KS",22.65,16.73,47.5,7.5,15.4,1209.1
"Chautauqua, KS",25.31,18.24,40.7,7.0,15.0,1275.6
"Cherokee, KS",27.23,21.49,43.7,7.9,17.9,1537.4
"Cheyenne, KS",20.67,14.99,52.6,8.2,19.1,1046.4
"Clark, KS",19.15,13.79,46.5,6.9,15.4,1185.0
"Clay, KS",23.92,18.34,56.3,7.4,19.6,1023.0
"Cloud, KS",24.71,18.98,53.6,8.5,20.0,1291.5
"Coffey, KS",23.69,18.0,49.8,7.5,18.5,1210.1
"Comanche, KS",20.62,14.87,51.3,7.5,19.1,1178.8
"Cowley, KS",25.17,19.15,44.3,6.7,14.2,1151.7
"Crawford, KS",23.92,18.37,47.2,7.5,17.7,1237.8
"Decatur, KS",20.33,14.82,54.8,8.2,20.2,1059.3
"Dickinson, KS",23.92,18.39,51.1,7.4,18.2,1043.4
"Doniphan, KS",24.06,17.7,53.3,8.8,20.9,1252.8
"Douglas, KS",17.62,12.14,59.8,8.9,21.3,878.3
"Edwards, KS",19.85,14.13,51.2,9.3,20.2,1135.6
"Elk, KS",23.17,17.17,41.7,7.2,16.2,1312.7
"Ellis, KS",18.89,13.54,58.7,10.2,22.7,993.0
"Ellsworth, KS",22.39,16.57,51.2,7.7,17.1,964.1
"Finney, KS",20.54,14.03,44.6,7.2,16.6,776.3
"Ford, KS",20.53,14.59,46.4,7.0,16.8,1124.4
"Franklin, KS",24.91,19.66,49.7,7.5,19.3,1128.6
"Geary, KS",23.43,17.28,52.0,7.7,16.3,1356.7
"Gove, KS",21.64,16.04,52.3,9.5,20.2,1039.6
"Graham, KS",22.09,16.05,56.4,10.6,22.4,1138.8
"Grant, KS",20.47,14.32,48.3,7.2,16.7,1161.7
"Gray, KS",20.9,15.3,44.4,6.8,15.7,864.2
"Greeley, KS",20.47,14.59,50.5,8.4,20.2,1132.7
"Greenwood, KS",25.08,19.24,47.9,7.2,16.8,1229.1
"Hamilton, KS",21.94,15.53,46.4,8.3,18.6,1303.4
"Harper, KS",23.98,17.86,50.3,8.3,17.9,1015.4
"Harvey, KS",20.53,15.64,48.5,6.1,15.7,1045.2
"Haskell, KS",21.37,15.01,42.5,7.0,15.3,967.2
"Hodgeman, KS",20.33,14.76,49.3,7.6,17.2,1081.4
"Jackson, KS",23.4,17.34,51.8,8.2,19.0,1260.9
"Jefferson, KS",23.61,17.62,52.9,9.0,20.7,996.8
"Jewell, KS",21.24,15.67,52.9,8.2,19.5,954.5
"Johnson, KS",15.53,10.84,62.9,8.1,19.6,875.2
"Kearny, KS",21.84,15.39,44.9,7.6,17.2,910.6
"Kingman, KS",23.81,18.29,51.7,7.5,17.3,1405.0
"Kiowa, KS",19.97,14.56,50.2,7.2,16.7,1176.7
"Labette, KS",24.86,18.81,42.0,6.4,15.9,1354.9
"Lane, KS",21.41,15.65,54.1,8.8,21.3,847.8
"Leavenworth, KS",23.74,18.07,55.3,8.4,18.8,1073.4
"Lincoln, KS",22.73,16.82,46.9,7.1,15.5,937.6
"Linn, KS",24.0,17.92,43.1,7.5,17.8,998.9
"Logan, KS",22.03,16.26,50.9,7.5,16.7,915.7
"Lyon, KS",21.71,15.79,50.5,7.4,17.5,1180.4
"McPherson, KS",20.35,15.73,49.1,6.2,16.2,1004.7
"Marion, KS",21.9,16.62,46.8,6.3,14.9,1074.4
"Marshall, KS",24.74,19.37,56.8,9.3,21.3,945.5
"Meade, KS",19.47,13.85,48.8,7.4,17.5,1186.5
"Miami, KS",23.49,17.67,52.0,8.0,19.3,986.1
"Mitchell, KS",20.48,15.23,58.1,8.5,18.9,1243.4
"Montgomery, KS",26.12,19.26,41.9,7.3,15.7,1566.9
"Morris, KS",23.56,17.68,49.2,7.9,18.8,1143.6
"Morton, KS",21.25,14.78,44.0,7.6,16.9,1272.5
"Nemaha, KS",22.49,17.06,59.0,9.9,21.6,909.7
"Neosho, KS",26.8,20.63,44.7,7.4,17.6,1278.2
"Ness, KS",21.55,15.58,54.5,9.6,21.1,1016.1
"Norton, KS",25.82,19.67,55.5,8.6,19.3,1008.7
"Osage, KS",23.76,18.07,48.4,7.3,18.2,928.9
"Osborne, KS",21.34,15.67,48.3,7.7,16.7,1118.7
"Ottawa, KS",22.43,16.6,50.2,8.0,18.8,1050.0
"Pawnee, KS",22.92,16.8,53.0,8.3,19.1,1012.3
"Phillips, KS",23.5,17.77,51.7,7.8,19.2,1032.3
"Pottawatomie, KS",18.81,13.81,55.8,8.0,19.1,1022.0
"Pratt, KS",22.32,16.73,52.1,7.4,18.1,1151.1
"Rawlins, KS",21.45,15.59,58.4,10.7,24.0,1071.1
"Reno, KS",24.44,18.82,48.9,6.7,16.1,930.9
"Republic, KS",21.56,15.8,55.4,9.1,20.9,1018.0
"Rice, KS",21.54,16.0,48.1,6.8,16.5,984.7
"Riley, KS",16.43,11.13,57.1,8.0,18.5,903.6
"Rooks, KS",21.44,15.62,54.6,9.7,21.4,1087.9
"Rush, KS",22.12,16.14,51.0,9.4,22.3,966.3
"Russell, KS",22.78,17.07,54.1,8.3,20.0,982.6
"Saline, KS",23.99,18.13,49.7,6.8,17.3,953.8
"Scott, KS",19.21,13.95,52.0,6.8,17.0,804.0
"Sedgwick, KS",22.1,16.47,51.9,6.7,15.9,988.3
"Seward, KS",22.3,15.02,42.8,7.0,16.4,1210.7
"Shawnee, KS",22.34,16.78,52.7,7.1,18.0,993.9
"Sheridan, KS",20.34,14.83,54.9,9.1,19.9,979.4
"Sherman, KS",24.62,18.85,56.2,8.9,21.4,952.8
"Smith, KS",22.73,17.04,50.0,7.3,17.2,1123.9
"Stafford, KS",20.7,14.76,45.2,6.9,16.1,978.5
"Stanton, KS",19.93,13.59,44.5,7.2,17.3,975.3
"Stevens, KS",21.34,15.26,47.7,6.7,16.3,1037.5
"Sumner, KS",24.29,18.67,51.5,7.9,17.9,1052.8
"Thomas, KS",21.14,15.54,56.6,9.3,21.4,997.9
"Trego, KS",21.69,16.03,53.3,9.9,20.6,1137.7
"Wabaunsee, KS",21.97,16.48,51.4,8.0,18.4,962.7
"Wallace, KS",18.86,13.45,50.7,7.9,18.5,834.1
"Washington, KS",20.92,15.5,59.4,9.5,22.5,996.3
"Wichita, KS",21.3,15.06,46.6,7.8,17.5,833.1
"Wilson, KS",28.06,21.7,39.8,6.8,16.5,1233.2
"Woodson, KS",24.77,18.53,42.6,7.8,16.4,1201.6
"Wyandotte, KS",26.58,18.85,46.6,7.4,17.9,1065.5
"Adair, KY",29.43,23.57,32.2,6.1,11.4,1507.7
"Allen, KY",31.53,25.84,33.7,5.4,11.3,1204.8
"Anderson, KY",27.62,22.43,44.4,7.0,14.8,1058.5
"Ballard, KY",27.57,21.63,31.2,4.1,9.4,1250.7
"Barren, KY",28.9,23.62,34.6,4.7,10.6,1304.3
"Bath, KY",31.02,24.94,29.3,5.5,10.3,1399.4
"Bell, KY",32.74,26.87,22.7,3.3,9.2,1598.6
"Boone, KY",22.26,17.1,56.5,9.6,19.3,971.7
"Bourbon, KY",28.37,22.23,41.7,7.1,14.5,1235.2
"Boyd, KY",29.39,23.79,35.9,6.0,13.5,1383.8
"Boyle, KY",26.17,20.39,41.2,5.6,13.3,992.6
"Bracken, KY",28.34,22.15,41.0,9.1,17.6,1130.6
"Breathitt, KY",32.41,27.11,24.7,5.4,11.2,2033.1
"Breckinridge, KY",30.25,24.08,34.2,6.6,13.1,1009.3
"Bullitt, KY",31.54,27.16,46.1,7.5,15.1,918.8
"Butler, KY",30.03,23.92,25.7,3.8,8.7,1014.7
"Caldwell, KY",29.77,24.1,31.9,4.0,9.2,1527.8
"Calloway, KY",23.68,18.62,41.5,5.6,11.7,1257.2
"Campbell, KY",25.5,19.5,61.7,12.5,27.3,1038.4
"Carlisle, KY",26.02,20.2,34.9,4.9,10.3,1132.2
"Carroll, KY",31.98,26.13,40.2,6.5,14.5,1378.8
"Carter, KY",30.91,25.84,28.6,4.9,11.6,1303.2
"Casey, KY",30.74,25.21,29.9,5.9,11.0,906.6
"Christian, KY",29.0,23.16,39.6,5.6,12.5,1233.4
"Clark, KY",27.99,22.32,41.4,6.1,13.1,1291.1
"Clay, KY",36.73,30.67,20.9,3.9,9.3,1508.3
"Clinton, KY",33.46,27.09,29.4,5.7,11.1,1263.6
"Crittenden, KY",29.74,23.95,31.7,4.3,9.7,1786.6
"Cumberland, KY",31.12,24.85,32.1,6.2,11.8,1530.4
"Daviess, KY",25.63,20.08,46.4,8.0,16.6,1175.4
"Edmonson, KY",28.58,22.94,32.6,5.7,11.3,1117.7
"Elliott, KY",34.64,28.85,28.2,6.0,12.2,1067.8
"Estill, KY",34.05,27.52,27.5,4.9,10.7,1344.8
"Fayette, KY",20.57,14.27,56.2,9.6,18.9,865.9
"Fleming, KY",29.74,24.14,33.1,6.5,12.9,1372.1
"Floyd, KY",30.65,24.49,24.3,4.6,10.6,1458.7
"Franklin, KY",25.28,19.21,48.8,8.0,16.1,1138.0
"Fulton, KY",29.06,22.41,36.8,6.3,14.1,1628.7
"Gallatin, KY",29.86,24.12,36.7,6.3,13.3,1187.9
"Garrard, KY",28.54,22.86,33.8,5.2,11.0,1030.1
"Grant, KY",27.57,22.23,34.1,5.0,10.7,1198.3
"Graves, KY",27.94,22.09,33.4,4.4,10.8,1100.0
"Grayson, KY",31.02,24.9,32.8,5.4,12.1,1076.7
"Green, KY",30.23,24.43,26.4,4.0,9.1,1345.5
"Greenup, KY",28.13,23.12,33.2,5.1,12.0,1202.1
"Hancock, KY",27.86,21.78,31.0,4.8,10.6,1235.5
"Hardin, KY",26.12,20.53,41.7,5.5,12.4,952.5
"Harlan, KY",32.36,26.86,25.3,4.1,10.8,1577.4
"Harrison, KY",29.74,23.73,39.7,7.8,14.6,1299.2
"Hart, KY",32.07,26.37,29.5,4.9,10.4,1221.3
"Henderson, KY",26.88,21.47,43.2,7.0,14.4,1113.5
"Henry, KY",28.91,22.79,38.0,6.8,13.0,1094.6
"Hickman, KY",28.47,22.27,27.9,3.7,9.1,1265.8
"Hopkins, KY",30.01,24.95,37.6,6.1,12.2,1452.9
"Jackson, KY",33.79,27.75,24.4,4.1,10.0,1704.6
"Jefferson, KY",26.71,20.46,54.3,9.1,18.6,997.2
"Jessamine, KY",25.61,19.81,44.3,7.1,13.5,886.1
"Johnson, KY",32.53,26.85,28.9,5.0,11.3,1162.4
"Kenton, KY",24.84,18.85,61.9,13.1,24.4,1025.5
"Knott, KY",30.71,24.44,24.2,4.4,10.7,1317.2
"Knox, KY",35.46,28.94,24.0,3.8,9.7,1367.5
"Larue, KY",29.92,24.66,33.1,5.1,11.0,1090.4
"Laurel, KY",32.9,27.3,29.0,4.2,10.5,1302.8
"Lawrence, KY",32.52,26.66,27.5,4.9,11.3,1317.5
"Lee, KY",34.48,27.84,23.5,5.0,10.1,1692.7
"Leslie, KY",32.96,27.76,24.2,4.2,10.2,1612.7
"Letcher, KY",29.85,24.08,23.7,4.3,10.3,1380.3
"Lewis, KY",31.28,26.24,28.4,5.5,12.5,1428.2
"Lincoln, KY",31.18,25.75,28.4,4.3,9.8,1138.8
"Livingston, KY",30.0,24.13,34.6,5.4,10.7,1112.0
"Logan, KY",30.23,24.12,34.0,4.8,11.3,1193.6
"Lyon, KY",29.28,22.95,35.2,5.4,10.9,1020.9
"McCracken, KY",26.2,20.22,48.3,6.4,14.6,1087.7
"McCreary, KY",34.34,27.53,25.1,4.3,9.4,1437.1
"McLean, KY",28.46,22.84,32.2,5.4,11.0,1196.4
"Madison, KY",24.55,18.64,42.0,6.8,14.4,1126.9
"Magoffin, KY",31.65,25.97,22.5,4.0,10.1,1371.0
"Marion, KY",28.95,23.46,50.4,10.0,19.7,1118.2
"Marshall, KY",27.63,22.22,39.6,5.9,11.8,1139.8
"Martin, KY",32.65,25.3,22.6,4.4,9.8,1187.3
"Mason, KY",29.01,23.62,42.6,9.3,18.7,1349.0
"Meade, KY",28.28,22.69,40.3,6.3,14.8,1081.9
"Menifee, KY",33.31,27.37,27.1,5.3,11.3,933.3
"Mercer, KY",28.49,22.69,35.0,4.8,10.9,1267.8
"Metcalfe, KY",32.0,26.35,25.7,4.1,8.5,1379.0
"Monroe, KY",30.5,24.62,27.2,4.7,9.3,1637.8
"Montgomery, KY",30.88,25.41,36.6,7.0,14.0,1482.5
"Morgan, KY",32.25,26.32,27.0,5.2,11.0,955.8
"Muhlenberg, KY",29.8,24.36,30.0,4.3,10.1,1440.6
"Nelson, KY",29.13,24.12,50.4,9.4,19.9,1015.1
"Nicholas, KY",29.32,23.27,35.5,6.9,13.4,1398.1
"Ohio, KY",29.83,23.59,30.4,4.7,10.2,1364.7
"Oldham, KY",20.91,15.5,55.7,8.5,15.6,936.5
"Owen, KY",26.04,20.3,32.4,5.2,10.7,1304.5
"Owsley, KY",31.18,25.87,23.4,5.2,10.3,1756.0
"Pendleton, KY",28.96,22.86,33.8,5.4,11.7,1046.1
"Perry, KY",31.7,26.72,28.5,5.3,12.1,1633.8
"Pike, KY",30.26,23.45,24.8,4.4,10.7,1361.1
"Powell, KY",32.28,26.34,28.9,5.1,11.4,1519.7
"Pulaski, KY",29.33,23.88,30.3,4.3,10.2,1279.5
"Robertson, KY",30.96,24.93,31.5,6.8,12.0,1377.6
"Rockcastle, KY",30.91,25.44,24.5,3.9,9.1,1334.0
"Rowan, KY",27.39,21.92,35.7,6.9,13.8,1120.9
"Russell, KY",30.92,24.74,30.5,5.5,10.8,1378.6
"Scott, KY",23.7,17.89,46.3,6.9,13.8,1379.8
"Shelby, KY",25.62,19.86,43.5,6.5,13.2,976.2
"Simpson, KY",29.7,23.4,36.9,4.9,11.8,1265.0
"Spencer, KY",27.22,22.16,40.3,6.6,12.8,1007.0
"Taylor, KY",29.68,24.17,34.3,5.4,11.6,1286.5
"Todd, KY",30.88,24.68,27.5,3.7,8.6,1264.6
"Trigg, KY",27.23,21.61,38.6,5.3,11.2,1247.6
"Trimble, KY",26.11,20.44,35.3,5.5,10.8,1267.5
"Union, KY",28.87,22.56,45.8,7.5,15.8,1222.2
"Warren, KY",23.92,18.12,46.9,6.9,15.7,1174.6
"Washington, KY",26.44,20.92,42.8,6.8,15.8,1042.6
"Wayne, KY",32.97,26.76,25.6,3.6,9.1,1204.6
"Webster, KY",29.71,23.82,33.6,5.5,11.0,1361.6
"Whitley, KY",31.9,26.21,25.2,3.5,8.7,1636.6
"Wolfe, KY",32.0,26.19,28.1,6.5,13.7,1924.3
"Woodford, KY",23.95,17.84,51.2,9.1,17.0,999.5
"Acadia, LA",30.57,23.93,48.7,9.4,18.9,1407.6
"Allen, LA",31.37,23.95,42.6,7.9,16.0,1393.9
"Ascension, LA",22.5,16.4,56.6,10.5,20.0,1098.4
"Assumption, LA",29.08,21.89,51.8,9.6,20.9,1267.0
"Avoyelles, LA",30.21,23.12,46.8,9.2,18.9,1580.2
"Beauregard, LA",26.95,20.46,40.7,6.1,13.3,1638.2
"Bienville, LA",26.36,19.58,37.2,5.7,12.5,1073.0
"Bossier, LA",23.84,17.56,46.9,7.2,15.4,1206.6
"Caddo, LA",26.0,18.83,47.7,7.6,15.8,964.0
"Calcasieu, LA",26.11,19.96,50.2,8.9,18.1,1915.5
"Caldwell, LA",29.25,22.28,34.0,5.5,12.8,2100.1
"Cameron, LA",26.64,20.86,49.9,9.2,21.9,1600.3
"Catahoula, LA",29.49,21.75,33.3,5.8,12.5,1686.2
"Claiborne, LA",27.84,20.83,38.6,6.6,13.7,1183.4
"Concordia, LA",29.63,21.93,41.2,6.8,13.9,1570.3
"De Soto, LA",27.92,20.96,39.3,7.1,14.5,1079.2
"East Baton Rouge, LA",19.43,13.36,57.1,7.3,16.4,1151.5
"East Carroll, LA",30.19,21.53,35.8,5.9,13.8,1451.7
"East Feliciana, LA",25.22,18.25,42.4,5.8,13.5,1872.8
"Evangeline, LA",30.84,23.18,47.2,9.1,19.5,1334.2
"Franklin, LA",28.04,21.0,30.5,5.2,12.2,2749.7
"Grant, LA",27.59,21.44,36.1,6.8,13.6,1335.8
"Iberia, LA",27.75,21.21,53.3,9.7,19.6,1481.2
"Iberville, LA",27.88,20.44,45.4,7.0,16.4,975.9
"Jackson, LA",26.8,19.92,36.3,6.2,12.7,1207.4
"Jefferson, LA",23.61,16.93,57.0,9.2,20.8,1077.4
"Jefferson Davis, LA",29.1,22.73,50.2,9.6,20.5,1514.2
"Lafayette, LA",24.93,18.88,59.5,10.2,21.5,1253.0
"Lafourche, LA",27.02,21.02,53.3,10.0,22.6,1229.0
"La Salle, LA",26.66,20.54,36.2,5.8,11.8,1152.2
"Lincoln, LA",19.95,13.84,44.5,6.1,13.3,923.8
"Livingston, LA",26.18,20.68,48.4,7.5,15.7,1262.8
"Madison, LA",29.6,21.36,42.4,9.3,17.1,2035.0
"Morehouse, LA",28.9,21.35,35.6,6.1,12.8,1628.5
"Natchitoches, LA",24.3,18.08,44.1,7.2,14.8,1238.1
"Orleans, LA",21.73,15.11,61.2,10.0,22.9,1005.9
"Ouachita, LA",26.32,18.49,44.1,6.8,13.8,1001.3
"Plaquemines, LA",25.56,20.27,55.9,9.4,21.8,1042.1
"Pointe Coupee, LA",27.29,20.67,56.6,11.0,23.0,1437.2
"Rapides, LA",26.78,19.93,43.2,7.0,14.7,1676.2
"Red River, LA",28.43,21.34,38.2,8.1,15.2,1032.3
"Richland, LA",27.29,21.08,35.6,5.1,11.5,1588.4
"Sabine, LA",27.84,21.02,36.0,6.6,14.1,1136.1
"St. Bernard, LA",29.65,23.56,52.6,8.7,20.8,1000.1
"St. Charles, LA",24.02,17.96,58.0,9.6,20.4,1263.3
"St. Helena, LA",26.08,18.49,41.1,5.9,14.1,1216.3
"St. James, LA",26.04,18.21,55.8,10.3,23.0,1215.1
"St. John the Baptist, LA",25.23,18.07,52.8,9.2,18.0,1538.0
"St. Landry, LA",29.74,22.62,54.2,10.3,21.1,1557.8
"St. Martin, LA",29.62,22.62,53.1,10.7,21.9,1336.2
"St. Mary, LA",29.28,22.2,51.1,9.8,21.2,1305.7
"St. Tammany, LA",22.27,16.66,60.3,8.2,18.4,1141.7
"Tangipahoa, LA",25.38,19.04,45.5,7.1,15.7,1473.2
"Tensas, LA",28.28,19.62,36.1,5.8,13.4,1443.3
"Terrebonne, LA",28.38,22.43,53.8,10.3,21.8,1241.2
"Union, LA",26.12,19.75,31.7,5.7,11.9,870.1
"Vermilion, LA",27.77,22.26,55.0,10.6,22.5,1536.4
"Vernon, LA",24.94,19.01,42.0,7.6,14.9,1663.5
"Washington, LA",29.11,22.31,37.9,5.8,13.9,1301.4
"Webster, LA",27.28,20.77,38.9,6.0,13.2,1244.6
"West Baton Rouge, LA",24.52,18.76,53.3,10.1,21.0,958.9
"West Carroll, LA",29.46,23.16,30.3,5.0,12.3,1568.9
"West Feliciana, LA",25.42,18.02,46.0,6.4,15.7,1038.6
"Winn, LA",28.73,22.31,35.5,6.1,12.6,1640.0
"Androscoggin, ME",23.51,18.29,60.4,9.1,19.9,1018.9
"Aroostook, ME",25.31,18.93,55.7,8.9,19.3,930.4
"Cumberland, ME",17.37,12.18,69.0,11.2,22.0,868.0
"Franklin, ME",22.57,17.21,61.6,10.0,20.6,885.2
"Hancock, ME",21.79,15.62,64.8,12.0,19.7,842.0
"Kennebec, ME",22.74,17.14,61.7,9.6,18.6,938.6
"Knox, ME",21.3,15.67,63.9,10.9,18.2,1048.5
"Lincoln, ME",20.2,14.32,65.2,12.2,19.6,951.0
"Oxford, ME",25.06,18.8,60.4,10.7,20.2,891.7
"Penobscot, ME",22.99,17.79,58.1,9.0,18.5,1035.8
"Piscataquis, ME",23.91,18.72,56.9,9.8,18.6,1026.2
"Sagadahoc, ME",19.65,14.51,66.3,11.1,20.0,962.7
"Somerset, ME",25.07,19.85,55.9,9.5,19.0,1084.0
"Waldo, ME",21.34,15.83,60.9,10.5,18.8,1110.1
"Washington, ME",27.41,20.86,57.2,10.5,20.4,1093.6
"York, ME",19.98,14.62,66.0,10.8,22.1,870.5
"Allegany, MD",24.2,17.77,50.6,8.5,18.2,1254.7
"Anne Arundel, MD",19.1,14.05,62.7,7.7,20.3,1024.5
"Calvert, MD",20.23,15.3,61.8,8.9,19.9,1119.8
"Caroline, MD",23.91,17.79,48.5,6.7,17.2,1162.7
"Carroll, MD",17.92,13.06,62.3,8.0,19.8,1109.7
"Cecil, MD",22.8,17.38,53.7,9.3,20.7,1260.5
"Charles, MD",17.96,12.33,56.2,7.3,16.4,1022.3
"Dorchester, MD",23.41,16.72,47.0,6.6,15.9,1164.1
"Frederick, MD",16.68,11.64,60.8,7.3,18.1,1005.1
"Garrett, MD",22.14,16.83,46.5,7.1,15.2,1388.0
"Harford, MD",18.81,13.31,61.9,8.1,20.2,1082.0
"Howard, MD",11.47,7.48,68.2,8.2,19.1,780.9
"Kent, MD",20.4,14.24,60.2,10.4,20.8,1149.7
"Montgomery, MD",11.51,7.22,64.8,6.8,17.2,658.8
"Prince George's, MD",18.29,12.04,53.1,5.5,14.8,1007.6
"Queen Anne's, MD",19.36,13.79,64.8,11.8,24.0,1027.3
"St. Mary's, MD",19.36,13.7,60.6,8.1,19.5,1055.1
"Somerset, MD",25.88,18.37,47.5,7.0,15.7,1719.2
"Talbot, MD",18.49,13.4,61.0,9.4,19.2,915.5
"Washington, MD",21.48,15.49,51.5,6.6,16.7,1148.4
"Wicomico, MD",21.34,15.2,54.3,6.8,17.4,1440.9
"Worcester, MD",20.44,15.16,64.0,11.6,23.2,1154.0
"Barnstable, MA",19.81,14.22,72.2,11.4,22.5,888.7
"Berkshire, MA",21.32,15.61,67.8,12.2,23.5,950.1
"Bristol, MA",24.15,18.47,62.9,9.0,20.5,916.4
"Dukes, MA",18.8,13.03,70.7,14.3,23.8,837.6
"Essex, MA",18.1,12.95,64.2,9.1,21.5,900.9
"Franklin, MA",19.19,13.25,67.1,11.4,21.6,956.6
"Hampden, MA",22.13,16.3,59.6,8.8,20.8,976.4
"Hampshire, MA",16.66,11.62,68.9,10.7,22.2,961.7
"Middlesex, MA",15.83,11.17,67.0,9.4,20.8,820.1
"Nantucket, MA",15.51,10.2,72.0,14.9,24.1,866.2
"Norfolk, MA",16.19,11.05,69.9,9.8,21.3,819.1
"Plymouth, MA",21.86,16.13,65.3,10.0,20.5,906.8
"Suffolk, MA",18.68,12.6,60.0,10.7,21.3,730.6
"Worcester, MA",19.71,14.16,63.5,9.8,21.3,964.1
"Alcona, MI",26.3,19.55,57.7,12.3,24.9,1305.9
"Alger, MI",26.03,18.88,60.3,13.2,26.6,1061.9
"Allegan, MI",21.81,16.32,59.6,8.6,20.4,1053.7
"Alpena, MI",24.94,18.91,61.6,11.5,24.6,1531.4
"Antrim, MI",21.85,16.03,60.9,11.1,23.7,1020.1
"Arenac, MI",27.65,20.94,58.3,10.4,25.0,1527.4
"Baraga, MI",28.06,20.1,50.9,11.5,25.8,1142.0
"Barry, MI",22.3,17.09,56.6,9.1,20.1,1110.4
"Bay, MI",24.49,18.73,64.8,12.2,26.8,1545.2
"Benzie, MI",21.33,15.51,58.3,10.3,22.0,962.0
"Berrien, MI",24.04,17.42,54.3,7.6,18.5,1422.7
"Branch, MI",26.94,20.79,52.5,9.7,20.9,1221.5
"Calhoun, MI",25.53,19.09,55.3,8.3,19.5,1249.0
"Cass, MI",24.65,18.35,55.6,8.8,19.6,1239.5
"Charlevoix, MI",22.37,16.74,63.8,10.3,23.7,1058.8
"Cheboygan, MI",26.0,19.78,59.3,11.2,24.7,1177.8
"Chippewa, MI",24.45,17.71,58.2,11.2,26.5,1130.1
"Clare, MI",27.72,21.35,52.9,10.7,22.8,1387.4
"Clinton, MI",19.39,14.33,63.3,10.1,22.9,1015.5
"Crawford, MI",25.97,19.41,59.1,12.3,24.7,1210.4
"Delta, MI",24.7,18.56,65.1,15.2,30.3,1077.8
"Dickinson, MI",24.16,18.74,68.3,14.9,30.0,1046.0
"Eaton, MI",20.34,14.89,57.0,7.9,19.4,1153.0
"Emmet, MI",21.38,15.18,65.5,11.9,24.5,1070.5
"Genesee, MI",26.15,19.08,53.4,8.6,19.5,1330.5
"Gladwin, MI",25.97,19.75,55.6,10.9,22.9,1323.1
"Gogebic, MI",25.41,18.67,62.6,13.8,27.8,1231.9
"Grand Traverse, MI",20.26,14.73,65.3,9.9,23.9,1046.3
"Gratiot, MI",26.48,20.12,54.8,9.4,21.1,1376.3
"Hillsdale, MI",26.5,20.34,50.4,8.6,19.2,1306.2
"Houghton, MI",20.2,14.66,64.2,13.5,26.9,1198.4
"Huron, MI",25.8,19.6,58.4,10.2,24.1,1421.7
"Ingham, MI",18.42,12.64,59.5,9.3,21.5,983.8
