county_state,2012 Both Sexes,cig_total_mean,cig_daily_mean,deaths-per-100k
"Blount, TN",39.0,23.76,18.54,911.3
"Blue Earth, MN",66.6,20.11,14.15,853.7
"Boise, ID",58.4,21.65,16.28,752.8
"Bolivar, MS",45.8,23.75,15.76,1417.6
"Bollinger, MO",42.2,28.25,22.62,1332.9
"Bon Homme, SD",60.7,23.14,16.95,1019.9
"Bond, IL",52.6,22.66,17.01,1216.4
"Bonner, ID",65.9,22.72,16.98,890.7
"Bonneville, ID",35.6,16.1,11.54,1178.9
"Boone, AR",37.5,26.57,20.86,1658.2
"Boone, IA",60.6,23.19,17.03,1177.7
"Boone, IL",61.3,21.82,16.06,1063.2
"Boone, IN",56.5,18.26,13.03,1262.5
"Boone, KY",56.5,22.26,17.1,971.7
"Boone, MO",58.8,18.04,12.69,904.5
"Boone, NE",63.1,21.11,15.57,1108.8
"Boone, WV",22.7,32.3,27.6,1302.0
"Borden, TX",35.3,16.97,11.57,894.8
"Bosque, TX",50.1,22.69,16.45,1200.7
"Bossier, LA",46.9,23.84,17.56,1206.6
"Botetourt, VA",46.5,22.11,16.79,1054.7
"Bottineau, ND",63.1,22.04,16.36,1198.2
"Boundary, ID",59.1,25.85,20.06,869.2
"Bourbon, KS",45.1,24.52,18.04,1149.4
"Bourbon, KY",41.7,28.37,22.23,1235.2
"Bowie, TX",42.9,23.75,16.57,1485.8
"Bowman, ND",70.1,20.93,15.52,1092.3
"Box Butte, NE",58.6,22.95,17.46,1147.6
"Box Elder, UT",19.6,14.2,10.54,1243.5
"Boyd, KY",35.9,29.39,23.79,1383.8
"Boyd, NE",58.6,22.97,17.27,1306.1
"Boyle, KY",41.2,26.17,20.39,992.6
"Bracken, KY",41.0,28.34,22.15,1130.6
"Bradford, FL",41.1,26.99,20.51,1066.7
"Bradford, PA",55.1,23.59,18.46,1209.6
"Bradley, AR",34.6,27.22,20.06,1723.2
"Bradley, TN",33.2,26.48,20.63,1351.1
"Branch, MI",52.5,26.94,20.79,1221.5
"Brantley, GA",34.5,30.17,23.34,1124.6
"Braxton, WV",26.9,29.94,24.37,1063.4
"Brazoria, TX",51.9,18.08,12.15,1090.4
"Brazos, TX",52.6,16.31,10.71,1037.3
"Breathitt, KY",24.7,32.41,27.11,2033.1
"Breckinridge, KY",34.2,30.25,24.08,1009.3
"Bremer, IA",65.9,17.28,12.62,1041.2
"Brevard, FL",60.4,23.43,17.17,1008.2
"Brewster, TX",54.6,15.12,9.5,802.0
"Briscoe, TX",35.7,20.96,14.49,1120.0
"Bristol, MA",62.9,24.15,18.47,916.4
"Bristol, RI",72.0,17.08,12.27,1003.0
"Broadwater, MT",61.0,24.07,17.88,1006.8
"Bronx, NY",44.9,20.28,12.11,1175.0
"Brooke, WV",38.6,29.76,24.62,1393.2
"Brookings, SD",61.7,16.97,11.91,1032.5
"Brooks, GA",39.9,26.07,18.63,1102.4
"Brooks, TX",44.0,17.79,10.39,1080.2
"Broome, NY",61.5,20.17,14.84,1077.7
"Broward, FL",58.2,17.68,11.14,897.2
"Brown, IL",56.8,25.9,19.12,1111.6
"Brown, IN",50.0,23.06,17.07,1031.4
"Brown, KS",51.9,26.64,19.82,1335.2
"Brown, MN",67.8,23.37,17.35,757.4
"Brown, NE",57.8,22.56,16.78,1084.8
"Brown, OH",43.7,29.11,22.66,1251.4
"Brown, SD",63.1,20.31,14.65,920.3
"Brown, TX",42.0,23.57,17.27,1336.6
"Brown, WI",70.1,19.1,13.92,1161.0
"Brule, SD",58.6,21.86,15.81,1062.2
"Brunswick, NC",55.5,24.55,17.54,897.4
"Brunswick, VA",37.3,28.18,19.48,1102.8
"Bryan, GA",54.5,20.05,13.86,1169.6
"Bryan, OK",37.8,26.11,19.31,1157.1
